,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
0,97.6,98.3,100,98.3,Massachusetts Institute of Technology (MIT) ,98.5,1,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1,90.6,100,96.8,100,Stanford University,95.3,2,https://www.topuniversities.com/universities/stanford-university
2,92.6,99.1,91,95.8,"University of California, Berkeley (UCB)",93.6,3,https://www.topuniversities.com/universities/university-california-berkeley-ucb
3,90.2,90.5,98.9,85.5,University of Cambridge,92.2,4,https://www.topuniversities.com/universities/university-cambridge
4,89.2,96.6,91.3,87.7,California Institute of Technology (Caltech),90.7,5,https://www.topuniversities.com/universities/california-institute-technology-caltech
5,90.4,87.4,92.8,89.3,Kyoto University,90.5,6,https://www.topuniversities.com/universities/kyoto-university
6,85,90.7,98.4,83.7,University of Oxford,89.7,7,https://www.topuniversities.com/universities/university-oxford
7,86,90.5,91.8,92.3,National University of Singapore (NUS),89.4,8,https://www.topuniversities.com/universities/national-university-singapore-nus
8,91,86,90.2,85.5,Imperial College London,89.2,9,https://www.topuniversities.com/universities/imperial-college-london
9,86.8,87.1,93.6,87.7,The University of Tokyo,89,10,https://www.topuniversities.com/universities/university-tokyo
10,84.1,84.9,91.6,95.8,Tsinghua University,88.2,11,https://www.topuniversities.com/universities/tsinghua-university
11,91.8,90.9,84.6,81.8,Princeton University,88,12,https://www.topuniversities.com/universities/princeton-university
12,88.3,90.2,81.7,92.3,ETH Zurich - Swiss Federal Institute of Technology,87.2,13,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
13,93.3,90.3,75.3,87.3,University of Wisconsin-Madison,86.6,14,https://www.topuniversities.com/universities/university-wisconsin-madison
14,81.7,90.6,87.7,89.7,KAIST - Korea Advanced Institute of Science & Technology,86,15,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology
15,80.3,85.3,91.2,90.5,Seoul National University,85.9,16,https://www.topuniversities.com/universities/seoul-national-university
16,79.7,94.6,82.6,98.8,"Nanyang Technological University, Singapore (NTU)",85.7,=17,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu
17,100,85.2,69.6,80.2,University of Minnesota,85.7,=17,https://www.topuniversities.com/universities/university-minnesota
18,81.8,92.9,88,81.3,"University of California, Los Angeles (UCLA)",85.3,19,https://www.topuniversities.com/universities/university-california-los-angeles-ucla
19,82.4,90.3,84.2,89.3,Georgia Institute of Technology,85.2,20,https://www.topuniversities.com/universities/georgia-institute-technology
20,82.4,82.1,90.7,80.7,Tokyo Institute of Technology,84.6,21,https://www.topuniversities.com/universities/tokyo-institute-technology
21,82.3,92.7,79.8,89.3,University of Texas at Austin,84.2,22,https://www.topuniversities.com/universities/university-texas-austin
22,80.3,89.8,88.2,79.2,Yale University,83.9,23,https://www.topuniversities.com/universities/yale-university
23,82.7,84.9,81.6,82.8,Delft University of Technology,82.7,=24,https://www.topuniversities.com/universities/delft-university-technology
24,77.6,97.9,75.4,95.4,Northwestern University,82.7,=24,https://www.topuniversities.com/universities/northwestern-university
25,86.7,85.4,76.7,80.7,The University of Manchester,82.6,26,https://www.topuniversities.com/universities/university-manchester
26,78.7,92.9,81.5,83.7,Cornell University,82.4,27,https://www.topuniversities.com/universities/cornell-university
27,76.8,85.4,86.9,81.3,Monash University,81.8,28,https://www.topuniversities.com/universities/monash-university
28,78.9,87.8,85.2,75.1,The Hong Kong University of Science and Technology,81.6,29,https://www.topuniversities.com/universities/hong-kong-university-science-technology
29,79.7,84.3,80.8,81.8,Purdue University,81,=30,https://www.topuniversities.com/universities/purdue-university
30,78.5,84.5,87.5,71.2,The University of Melbourne,81,=30,https://www.topuniversities.com/universities/university-melbourne
31,73.9,86.7,83.3,87.7,Osaka University,80.7,32,https://www.topuniversities.com/universities/osaka-university
32,79.6,87.6,75.4,82.8,The University of Queensland,80,33,https://www.topuniversities.com/universities/university-queensland
33,72.9,83.4,86.9,81.3,Tohoku University,79.9,=34,https://www.topuniversities.com/universities/tohoku-university
34,72.7,89,82.7,84.6,University of Toronto,79.9,=34,https://www.topuniversities.com/universities/university-toronto
35,84.2,83.6,73,77.5,UCL (University College London),79.7,36,https://www.topuniversities.com/universities/ucl-university-college-london
36,76.8,83.6,83,76.3,The University of New South Wales (UNSW Sydney),79.6,37,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney
37,79.7,77.7,82.6,71.9,Universiti Malaya (UM),79.1,=38,https://www.topuniversities.com/universities/universiti-malaya-um
38,78,80.8,83.4,71.9,Universiti Sains Malaysia (USM),79.1,=38,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm
39,71.2,90.1,80.3,85.5,University of Michigan,78.9,40,https://www.topuniversities.com/universities/university-michigan
40,71.9,87.9,83,78.6,Pohang University of Science And Technology (POSTECH),78.6,=41,https://www.topuniversities.com/universities/pohang-university-science-technology-postech
41,74.2,92.1,77,80.2,University of Pennsylvania,78.6,=41,https://www.topuniversities.com/universities/university-pennsylvania
42,68.7,82.8,87.7,79.7,Korea University,78.2,43,https://www.topuniversities.com/universities/korea-university
43,72,96.6,73.2,85.5,Ecole Polytechnique Fédérale de Lausanne (EPFL),78.1,44,https://www.topuniversities.com/universities/ecole-polytechnique-f%C3%A9d%C3%A9rale-de-lausanne-epfl
44,74,83.4,80.2,78.6,National Taiwan University (NTU),78,=45,https://www.topuniversities.com/universities/national-taiwan-university-ntu
45,67.7,82.4,85.2,86.4,Shanghai Jiao Tong University,78,=45,https://www.topuniversities.com/universities/shanghai-jiao-tong-university
46,79.4,83.1,78.3,67.5,McGill University,77.8,47,https://www.topuniversities.com/universities/mcgill-university
