,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
0,90.1,94.8,96.9,97.7,Massachusetts Institute of Technology (MIT) ,94,1,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1,87.6,99.4,95.4,100,Stanford University,93.6,2,https://www.topuniversities.com/universities/stanford-university
2,100,93.2,79.2,94.3,Carnegie Mellon University,91.9,3,https://www.topuniversities.com/universities/carnegie-mellon-university
3,85.4,98,89.2,95.4,"University of California, Berkeley (UCB)",89.9,4,https://www.topuniversities.com/universities/university-california-berkeley-ucb
4,82.8,90.7,98.7,83.8,University of Cambridge,88.9,5,https://www.topuniversities.com/universities/university-cambridge
5,79.4,95.2,100,82.6,Harvard University,88.4,6,https://www.topuniversities.com/universities/harvard-university
6,80.6,91.3,98.1,83,University of Oxford,87.8,7,https://www.topuniversities.com/universities/university-oxford
7,80.5,100,82.3,91.1,Princeton University,85.6,8,https://www.topuniversities.com/universities/princeton-university
8,79.9,94,84.5,93.2,ETH Zurich - Swiss Federal Institute of Technology,85.4,9,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
9,76.7,89.6,89,89.2,National University of Singapore (NUS),84.2,=10,https://www.topuniversities.com/universities/national-university-singapore-nus
10,79.3,94.3,82.7,90.2,University of Toronto,84.2,=10,https://www.topuniversities.com/universities/university-toronto
11,78,90.7,87.3,84.6,Imperial College London,83.7,12,https://www.topuniversities.com/universities/imperial-college-london
12,76.7,92.5,85.4,86.4,"University of California, Los Angeles (UCLA)",83.1,13,https://www.topuniversities.com/universities/university-california-los-angeles-ucla
13,73.4,93.7,86.7,85.7,The University of Melbourne,82.3,14,https://www.topuniversities.com/universities/university-melbourne
14,67.8,85.2,94.1,94,Tsinghua University,82.2,15,https://www.topuniversities.com/universities/tsinghua-university
15,73.8,83.3,90.7,83.8,Peking University,81.8,=16,https://www.topuniversities.com/universities/peking-university
16,81.9,98.3,68.8,91.1,University of Washington,81.8,=16,https://www.topuniversities.com/universities/university-washington
17,77.6,78.1,89.5,80.9,The University of Tokyo,81.7,18,https://www.topuniversities.com/universities/university-tokyo
