,Name,Link,Rank in 2017,Rank in 2016,Rank in 2015,3 year average rank,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Female board (%),International faculty (%),International students (%),International board (%)
0,Insead,http://rankings.ft.com/businessschoolrankings/insead/global-mba-ranking-2017#global-mba-ranking-2017,1,1,4,2,France / Singapore,2015,"167,305","167,657",95,11,30,85,58,82 (97),6,17,30,25,94,96,85
1,Stanford Graduate School of Business,http://rankings.ft.com/businessschoolrankings/stanford-university-gsb/global-mba-ranking-2017#global-mba-ranking-2017,2,5,4,4,US,2015,"193,534","195,322",93,74,1,85,19,82 (99),2,24,41,30,38,40,21
2,University of Pennsylvania: Wharton,http://rankings.ft.com/businessschoolrankings/university-of-pennsylvania-wharton/global-mba-ranking-2017#global-mba-ranking-2017,3,4,3,3,US,2013,"180,512","181,634",92,99,24,85,22,95 (92),4,20,44,17,36,34,49
3,Harvard Business School,http://rankings.ft.com/businessschoolrankings/harvard-business-school/global-mba-ranking-2017#global-mba-ranking-2017,4,2,1,2,US,2013,"177,541","178,113",97,87,10,86,24,91 (100),1,28,43,48,37,35,27
4,University of Cambridge: Judge,http://rankings.ft.com/businessschoolrankings/university-of-cambridge-judge/global-mba-ranking-2017#global-mba-ranking-2017,5,10,13,9,UK,2017,"164,714","164,462",107,1,18,89,7,89 (88),43,21,33,33,77,92,38
5,London Business School,http://rankings.ft.com/businessschoolrankings/london-business-school?mhq5j=e2,6,3,2,4,UK,2015,"155,183","154,567",92,84,5,88,30,94 (99),5,23,35,38,85,92,73
6,Columbia Business School,http://rankings.ft.com/businessschoolrankings/columbia-business-school/global-mba-ranking-2017#global-mba-ranking-2017,7,6,6,6,US,2014,"172,678","172,624",103,91,40,86,12,92 (90),8,19,38,13,58,53,34
7,IE Business School,http://rankings.ft.com/businessschoolrankings/ie-business-school/global-mba-ranking-2017#global-mba-ranking-2017,8,12,12,11,Spain,2014,"168,920","168,923",108,24,4,85,61,89 (88),26,39,31,46,63,92,84
8,University of Chicago: Booth,http://rankings.ft.com/businessschoolrankings/university-of-chicago-gsb/global-mba-ranking-2017#global-mba-ranking-2017,9,8,9,9,US,2017,"171,094","168,200",110,80,22,86,1,95 (99),9,16,42,13,37,46,40
9,Iese Business School,http://rankings.ft.com/businessschoolrankings/iese-business-school/global-mba-ranking-2017#global-mba-ranking-2017,10,16,7,11,Spain,2014,"146,108","147,596",133,85,12,85,52,92 (94),20,26,28,32,63,81,90
10,Ceibs,http://rankings.ft.com/businessschoolrankings/ceibs/global-mba-ranking-2017#global-mba-ranking-2017,11,17,11,13,China,2014,"156,023","159,870",155,39,26,82,57,93 (99),35,18,45,17,68,28,50
11,Northwestern University: Kellogg,http://rankings.ft.com/businessschoolrankings/northwestern-university-kellogg/global-mba-ranking-2017#global-mba-ranking-2017,12,11,14,12,US,2014,"165,038","164,326",96,92,13,87,16,95 (100),7,24,41,21,40,43,31
12,MIT: Sloan,http://rankings.ft.com/businessschoolrankings/mit-sloan/global-mba-ranking-2017#global-mba-ranking-2017,13,9,8,10,US,2014,"165,365","165,716",88,98,19,86,46,92 (99),3,18,40,15,40,47,55
13,University of California at Berkeley: Haas,http://rankings.ft.com/businessschoolrankings/uc-berkeley-haas/global-mba-ranking-2017#global-mba-ranking-2017,13,7,10,10,US,2017,"167,458","168,163",94,72,25,87,14,90 (100),10,21,38,20,53,44,7
14,HKUST Business School,http://rankings.ft.com/businessschoolrankings/hong-kong-ust/global-mba-ranking-2017#global-mba-ranking-2017,15,14,14,14,China,2016,"149,496","149,538",103,10,38,84,91,90 (93),39,22,30,29,59,72,45
15,Yale School of Management,http://rankings.ft.com/businessschoolrankings/yale-school-of-management/global-mba-ranking-2017#global-mba-ranking-2017,15,18,17,17,US,2013,"159,149","158,206",110,79,27,86,40,90 (99),16,29,43,21,44,46,46
