,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
0,97.3,92.2,99.4,100,Massachusetts Institute of Technology (MIT) ,97.6,1,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1,93,98.7,95.5,99.3,Stanford University,95.6,2,https://www.topuniversities.com/universities/stanford-university
2,89.9,89.8,99.1,92.6,University of Cambridge,93.1,3,https://www.topuniversities.com/universities/university-cambridge
3,84.3,98.2,100,86.6,Harvard University,91.4,=4,https://www.topuniversities.com/universities/harvard-university
4,91.6,94.5,89.3,91.8,"University of California, Berkeley (UCB)",91.4,=4,https://www.topuniversities.com/universities/university-california-berkeley-ucb
5,100,84.2,81.2,93,University of Michigan,90.9,6,https://www.topuniversities.com/universities/university-michigan
6,84.8,91.5,97.9,85.5,University of Oxford,89.8,7,https://www.topuniversities.com/universities/university-oxford
7,88,78.1,99.5,83.9,The University of Tokyo,89.4,8,https://www.topuniversities.com/universities/university-tokyo
8,88,87.8,91.6,88.6,Imperial College London,89.1,9,https://www.topuniversities.com/universities/imperial-college-london
9,83,79.3,97.7,93.4,Tsinghua University,88.4,10,https://www.topuniversities.com/universities/tsinghua-university
10,85.8,91.7,86.1,94.2,"Nanyang Technological University, Singapore (NTU)",88,11,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu
11,87.4,86.2,84.9,96.2,Georgia Institute of Technology,87.8,12,https://www.topuniversities.com/universities/georgia-institute-technology
12,83.4,90,90.4,89,National University of Singapore (NUS),87.3,13,https://www.topuniversities.com/universities/national-university-singapore-nus
13,89.2,80.5,88.8,83.9,California Institute of Technology (Caltech),87,14,https://www.topuniversities.com/universities/california-institute-technology-caltech
14,85.5,87.4,86.9,84.4,ETH Zurich - Swiss Federal Institute of Technology,86,=15,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
15,82.5,88.6,87.1,90.4,KAIST - Korea Advanced Institute of Science & Technology,86,=15,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology
16,79.8,86.6,90.4,92.2,Seoul National University,85.9,17,https://www.topuniversities.com/universities/seoul-national-university
17,89.9,80.6,81.8,85,Delft University of Technology,85.3,18,https://www.topuniversities.com/universities/delft-university-technology
18,82.8,94.7,82.4,85.5,"University of California, Los Angeles (UCLA)",84.9,19,https://www.topuniversities.com/universities/university-california-los-angeles-ucla
19,88.6,80.2,82.6,83.3,Purdue University,84.7,20,https://www.topuniversities.com/universities/purdue-university
20,72.6,90.9,92.6,90.9,Peking University,84.1,21,https://www.topuniversities.com/universities/peking-university
21,78.7,77.6,96,76.2,Kyoto University,83.4,22,https://www.topuniversities.com/universities/kyoto-university
22,78.8,87.7,86.4,82.1,The Hong Kong University of Science and Technology,82.9,23,https://www.topuniversities.com/universities/hong-kong-university-science-technology
23,85.2,78.8,82.2,81.5,RWTH Aachen University,82.8,24,https://www.topuniversities.com/universities/rwth-aachen-university
24,82.6,83.7,79.4,86.6,University of Illinois at Urbana-Champaign,82.4,25,https://www.topuniversities.com/universities/university-illinois-urbana-champaign
25,77.6,91.1,81.5,85,Cornell University,81.9,26,https://www.topuniversities.com/universities/cornell-university
26,77.1,78.6,85.3,89,Shanghai Jiao Tong University,81.6,=27,https://www.topuniversities.com/universities/shanghai-jiao-tong-university
27,78.9,88.3,78.3,89,University of Texas at Austin,81.6,=27,https://www.topuniversities.com/universities/university-texas-austin
28,82.2,79.5,82,80.9,Politecnico di Milano,81.5,29,https://www.topuniversities.com/universities/politecnico-di-milano
29,82.1,75.9,88.6,70.5,Tokyo Institute of Technology,81.4,30,https://www.topuniversities.com/universities/tokyo-institute-technology
30,79.7,79.9,82.5,82.1,Tohoku University,80.9,31,https://www.topuniversities.com/universities/tohoku-university
31,77.3,87,79.9,85.5,University of Toronto,80.8,32,https://www.topuniversities.com/universities/university-toronto
32,81.5,81.8,81.9,74.6,Universiti Malaya (UM),80.6,33,https://www.topuniversities.com/universities/universiti-malaya-um
33,79.9,87.8,79.2,77.6,Princeton University,80.5,34,https://www.topuniversities.com/universities/princeton-university
