,Avg Publication Count,Name,Num. Published Faculty,Rank
0,66.0, Carnegie Mellon University,83,1
1,31.8, Cornell University,35,2
2,29.3, Stanford University,34,3
3,23.9, Tsinghua University,41,4
4,23.4, Georgia Institute of Technology,35,5
5,22.7, University of Washington,34,6
6,21.4, University of Massachusetts Amherst,32,7
7,21.3, University of California - Berkeley,38,8
8,21.1, Massachusetts Institute of Technology,42,9
9,17.8, Hong Kong University of Science and Technology,25,10
10,17.0, University of Michigan,29,11
11,16.8, National University of Singapore,29,12
12,16.4, University of Pennsylvania,26,13
13,16.4, University of Southern California,27,13
14,16.0, University of Texas at Austin,21,15
15,15.7, University of Edinburgh,35,16
16,15.0, University of Toronto,28,17
17,14.8, University of Illinois at Urbana-Champaign,34,18
18,14.1, University of Maryland - College Park,20,19
19,13.7, University of California - Los Angeles,18,20
20,13.5, Columbia University,24,21
21,13.2, Hebrew University of Jerusalem,21,22
22,12.2, University of Alberta,28,23
23,11.3, University of Tokyo,24,24
24,11.2, University College London,26,25
25,11.1, Nanyang Technological University,30,26
26,10.8, Shanghai Jiao Tong University,36,27
27,10.8, Technion - Israel Institute of Technology,25,27
28,10.6, Northeastern University,25,29
29,10.6, Simon Fraser University,19,29
30,10.5, Max Planck Institute,11,31
31,10.2, Rutgers University,15,32
32,10.0, Australian National University,33,33
33,9.7, Purdue University,25,34
34,9.2, Arizona State University,13,35
35,9.1, University of Waterloo,21,36
36,9.0, Oregon State University,13,37
37,8.7, University of Oxford,25,38
38,8.6, Harvard University,17,39
39,8.6, University of Melbourne,21,39
40,8.3, TU Darmstadt,10,41
41,8.1, Chinese University of Hong Kong,18,42
42,8.1, New York University,19,42
43,8.1, University of Montreal,12,42
44,8.0, University of British Columbia,19,45
45,7.9, ETH Zurich,16,46
46,7.6, University of California - Irvine,15,47
47,7.4, University of Illinois at Chicago,12,48
48,7.4, University of Texas at Dallas,16,48
49,7.3, University of California - San Diego,18,50
50,7.3, University of Texas at Arlington,12,50
51,6.9, University of Wisconsin - Madison,20,52
52,6.8, Tel Aviv University,17,53
53,6.6, University of Rochester,9,54
54,6.4, EPFL,16,55
55,6.3, Bar-Ilan University,13,56
56,6.2, University of Colorado Boulder,15,57
57,6.2, University of California - Santa Cruz,12,57
58,6.2, Stony Brook University,18,57
59,6.2, McGill University,11,57
60,6.2, Pennsylvania State University,10,57
61,6.2, Johns Hopkins University,10,57
62,6.1, Imperial College London,18,63
63,6.0, Brown University,11,64
64,6.0, National Taiwan University,13,64
65,5.8, University of Adelaide,12,66
66,5.5, POSTECH,10,67
67,5.5, Nanjing University,22,67
68,5.4, Duke University,11,69
69,5.3, University of Utah,13,70
70,5.2, University of Central Florida,7,71
71,5.1, Singapore University of Technology and Design,7,72
72,5.1, IIT Bombay,15,72
73,5.0, Rensselaer Polytechnic Institute,8,74
74,4.9, University of California - Santa Barbara,16,75
75,4.9, University of North Carolina,15,75
76,4.9, RWTH Aachen,6,75
77,4.8, University of Minnesota,16,78
78,4.8, Temple University,8,78
79,4.7, University of California - Davis,7,80
80,4.6, Boston University,11,81
81,4.6, UNSW,27,81
82,4.5, Princeton University,24,83
83,4.5, Michigan State University,9,83
84,4.5, Toyota Technological Institute at Chicago,8,83
85,4.4, Washington University in St. Louis,11,86
86,4.3, IIT Delhi,10,87
87,4.2, Northwestern University,13,88
88,4.1, Brigham Young University,12,89
89,4.1, Yale University,8,89
90,4.1, University of Virginia,7,89
91,4.1, Rice University,10,89
92,4.1, Indiana University,11,89
93,4.0, Virginia Tech,13,94
94,4.0, University of Cambridge,9,94
95,4.0, TU Dresden,8,94
96,3.9, Texas A&M University,13,97
97,3.9, Ecole Normale Superieure,10,97
98,3.8, Monash University,15,99
99,3.8, IIT Madras,8,99
100,3.7, Politecnico di Milano,16,101
101,3.6, Carleton University,3,102
102,3.6, IISc Bangalore,9,102
103,3.5, Ohio State University,13,104
104,3.5, IIT Kanpur,11,104
105,3.5, TU Delft,18,104
106,3.4, University of Sydney,12,107
107,3.4, University of Liverpool,15,107
108,3.4, IST Austria,6,107
109,3.4, VU Amsterdam,12,107
110,3.4, California Institute of Technology,6,107
111,3.3, University of Notre Dame,6,112
112,3.2, TU Munich,10,113
113,3.2, Western University,5,113
114,3.1, IIIT Hyderabad,16,115
115,3.1, University of Freiburg,5,115
116,3.0, North Carolina State University,11,117
117,3.0, University of Delaware,6,117
118,3.0, University of Kentucky,7,117
119,3.0, CUNY,11,117
120,2.9, University of Pisa,12,121
121,2.9, KAUST,6,121
122,2.9, George Washington University,5,121
123,2.9, University of California - Riverside,11,121
124,2.8, University of Queensland,9,125
125,2.8, University of Maryland - Baltimore County,8,125
126,2.8, York University,8,125
127,2.8, Binghamton University,7,125
128,2.8, University of Pittsburgh,5,125
129,2.8, Drexel University,5,125
130,2.8, Dartmouth College,7,125
131,2.7, Athens University of Economics and Business,4,132
132,2.7, Colorado School of Mines,4,132
133,2.7, Universidade de Lisboa,17,132
134,2.7, University of Florida,8,132
135,2.6, Washington State University,6,136
136,2.6, University of Tennessee,5,136
137,2.6, University of Science and Technology of China,6,136
138,2.5, University of Bath,10,139
139,2.5, Emory University,6,139
140,2.5, University at Buffalo,16,139
141,2.4, DIKU,11,142
142,2.4, Rochester Institute of Technology,9,142
143,2.4, University of Manchester,11,142
144,2.4, IIT Gandhinagar,6,142
145,2.4, Université Jean Monnet,11,142
146,2.3, Università della Svizzera italiana,5,147
147,2.3, University of Oregon,5,147
148,2.3, University of Connecticut,6,147
149,2.3, Worcester Polytechnic Institute,11,147
150,2.3, University of Arizona,5,147
151,2.3, University of Chicago,4,147
152,2.3, IT University of Copenhagen,7,147
153,2.2, University of Iowa,2,154
154,2.2, University of Ottawa,9,154
155,2.2, IIT Kharagpur,9,154
156,2.2, University of Georgia,7,154
157,2.2, Boston College,2,154
158,2.2, George Mason University,12,154
159,2.1, University of Bristol,10,160
160,2.1, KAIST,5,160
161,2.0, Stevens Institute of Technology,4,162
162,2.0, IIT Patna,3,162
163,2.0, Georgetown University,5,162
164,2.0, University of Texas at San Antonio,2,162
165,1.9, University of Auckland,11,166
166,1.9, Ariel University,4,166
167,1.9, IIIT Delhi,6,166
168,1.9, Iowa State University,5,166
169,1.9, Case Western Reserve University,4,166
170,1.9, University of South Florida,5,166
171,1.8, Tufts University,4,172
172,1.8, Vanderbilt University,7,172
173,1.8, University of Western Australia,5,172
174,1.8, Indiana University-Purdue University Indianapolis,6,172
175,1.8, University of Colorado Colorado Springs,5,172
176,1.7, University of Manitoba,2,177
177,1.7, University of Zurich,4,177
178,1.7, New Mexico State University,3,177
179,1.6, CWI,5,180
180,1.6, University of Warsaw,9,180
181,1.5, University of Massachusetts Boston,4,182
182,1.5, University of Passau,4,182
183,1.5, Brandeis University,2,182
184,1.5, University of Bern,1,182
185,1.5, University of Waikato,3,182
186,1.5, University of Massachusetts Lowell,4,182
187,1.5, Colorado State University,3,182
188,1.4, University of Nebraska,4,189
189,1.4, University of Salerno,8,189
190,1.4, University of Athens,3,189
191,1.4, Concordia University,4,189
192,1.4, IIT Hyderabad,3,189
