1st Year Fee in CAD,1st Year Total Fee,1st year Fee in INR,Accomodation Offered,Ancillary Fee CAD ,Ancillary Fee INR ,Ancillary Fees CAD ,Ancillary Fees INR ,Application Fee CAD ,Application Fee INR ,Application Fees CAD ,Application Fees INR ,Application fee CAD ,Application fee INR ,Athletics fee CAD ,Athletics fee INR ,Bachelors,Books & Supplies CAD ,Books & Supplies INR ,Books CAD ,Books INR ,Books and Supplies CAD ,Books and Supplies INR ,Books and stationary supplies CAD ,Books and stationary supplies INR ,Books and supplies CAD ,Books and supplies INR ,Books/Supplies CAD ,Books/Supplies INR ,Building & Endowment CAD ,Building & Endowment INR ,Campus Recreation fee CAD ,Campus Recreation fee INR ,Class 12th,Clothing/miscellaneous CAD ,Clothing/miscellaneous INR ,Co-op Fees CAD ,Co-op Fees INR ,Compulsory Fees CAD ,Compulsory Fees INR ,CourseName,Dental Coverage CAD ,Dental Coverage INR ,Dental Insurance CAD ,Dental Insurance INR ,Dental insurance CAD ,Dental insurance INR ,Duration,Entertainment cost CAD ,Entertainment cost INR ,Facilities Access Fee CAD ,Facilities Access Fee INR ,Facilities Improvement Fee CAD ,Facilities Improvement Fee INR ,GRE,GRE Recommendation,GSS Dental Plan CAD ,GSS Dental Plan INR ,GSS Extended Health CAD ,GSS Extended Health INR ,General Expenses CAD ,General Expenses INR ,Grad Student Society CAD ,Grad Student Society INR ,Graduate Drug and Dental Plan CAD ,Graduate Drug and Dental Plan INR ,Graduate Student Association Fee CAD ,Graduate Student Association Fee INR ,Graduate Student Society Fee CAD ,Graduate Student Society Fee INR ,Graduate Students Association CAD ,Graduate Students Association INR ,Health Fee CAD ,Health Fee INR ,Hostel & Meals CAD ,Hostel & Meals INR ,Housing application fees CAD ,Housing application fees INR ,IELTS,IELTS Recommendation,Identification card CAD ,Identification card INR ,Incidental Fees CAD ,Incidental Fees INR ,Incidental and System Access fees CAD ,Incidental and System Access fees INR ,Information Technology Charge CAD ,Information Technology Charge INR ,Information Technology fees CAD ,Information Technology fees INR ,Insurance CAD ,Insurance INR ,Level,Library Fee CAD ,Library Fee INR ,Mandatory Non-Tuition Fees CAD ,Mandatory Non-Tuition Fees INR ,Miscellaneous CAD ,Miscellaneous INR ,Non-instructional Fees CAD ,Non-instructional Fees INR ,Other Expenses CAD ,Other Expenses INR ,PTE,PTE Recommendation,Personal Expense CAD ,Personal Expense INR ,Personal Expenses CAD ,Personal Expenses INR ,Personal expenses CAD ,Personal expenses INR ,Personal/textbooks/supplies CAD ,Personal/textbooks/supplies INR ,Placement Companies,Private/Public,Recreation Fee CAD ,Recreation Fee INR ,Recreation fee CAD ,Recreation fee INR ,Referenda Fees CAD ,Referenda Fees INR ,Registration Charges CAD ,Registration Charges INR ,Registration Fee CAD ,Registration Fee INR ,Registration Fees CAD ,Registration Fees INR ,Residence Application Fee CAD ,Residence Application Fee INR ,Schol Link,Schol Text,Scholarship Offered,Sport and Recreation Fee CAD ,Sport and Recreation Fee INR ,Student Dental Plan CAD ,Student Dental Plan INR ,Student Fees CAD ,Student Fees INR ,Student Health Fee CAD ,Student Health Fee INR ,Student Health and Dental CAD ,Student Health and Dental INR ,Student Organization & Dental Plan CAD ,Student Organization & Dental Plan INR ,Student Service & Other Fee CAD ,Student Service & Other Fee INR ,Student Service Fee CAD ,Student Service Fee INR ,Student Services CAD ,Student Services Fee CAD ,Student Services Fee INR ,Student Services INR ,Student Society Fees CAD ,Student Society Fees INR ,Student Union Fee CAD ,Student Union Fee INR ,Student union/federation fees CAD ,Student union/federation fees INR ,Study Permit Fee CAD ,Study Permit Fee INR ,TGSA Levies CAD ,TGSA Levies INR ,TOEFL,TOEFL Recommendation,Technology Fee CAD ,Technology Fee INR ,Textbooks CAD ,Textbooks INR ,Total CAD ,Total INR ,Transportation CAD ,Transportation INR ,U-pass CAD ,U-pass INR ,URL,UVic Athletics CAD ,UVic Athletics INR ,University Fees CAD ,University Fees INR ,Work experience
"19,125",Rs 16.3 Lakhs,"9,52,234",Yes,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,Master of Engineering in Industrial Engineering,,,,,,,2 Years,,,,,,,Accepted,Recommended,,,,,,,,,543,"27,036",,,124,"6,174",,,,,"11,530","5,74,079",,,6.5,,,,,,,,,,,,811,"40,380",Masters Program,,,,,79,"3,933",,,,,65,,,,,,,,,,"['Ford Motors', 'toyota', 'Honda Two Wheelers', 'Numerify', 'daimler chrysler']",Public,262,"13,045",,,,,,,,,,,,,,,Yes,,,,,,,65,"3,236",,,,,,,,,,,,,,,,,,,,,,,92,,,,,,"CAD 13,546","Rs. 6,74,455",132,"6,572",,,https://studyabroad.shiksha.com/canada/universities/university-of-windsor/master-of-engineering-in-industrial-engineering,,,,,
"50,780",Rs 32.8 Lakhs,"25,28,336",Yes,,,,,,,,,,,,,80%,,,"1,000","49,790",,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,Master of Applied Science in Mechanical and Industrial Engineering,,,,,,,1-2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,030","5,98,974",,,7,At least 6.5 for each component,,,,,"1,388","69,109",,,,,612,"30,471",Masters Program,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,https://www.mie.utoronto.ca/graduate/financial/nserc.php,"['', 'The Department of Mechanical and Industrial Engineering offers Ontario Graduate Scholarship for the international students']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,22 in writing and speaking,,,,,"CAD 15,030","Rs. 7,48,344",,,,,https://studyabroad.shiksha.com/canada/universities/university-of-toronto/master-of-applied-science-in-mechanical-and-industrial-engineering,,,,,
"6,851",Rs 8.9 Lakhs,"3,41,111",Yes,,,,,,,,,,,,,60%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,MSc in Mechanical Engineering,,,,,,,2 - 2.5 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,153","3,56,148",,,6.5,With at least 5 on each band,,,,,,,,,,,,,Masters Program,,,,,"1,860","92,609","1,938","96,493",,,59,,,,,,,,,,,Public,,,,,,,,,,,,,,,http://www.studyincanada.ualberta.ca/TuitionAndScholarships/ScholarshipsAwardsAndFunding/GraduateScholarshipsAndFunding.aspx,"['', 'Vanier Canada Graduate Scholarship Program - A prestigious doctoral award program funded by the Government of Canada for three years and international students are eligible']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,With a score of at least 20 on each of the individual skill areas,,,,,"CAD 10,951","Rs. 5,45,250",,,,,https://studyabroad.shiksha.com/canada/universities/university-of-alberta/msc-in-mechanical-engineering,,,,,
"8,436",Rs 12.5 Lakhs,"4,20,028",Yes,,,,,,,,,,,,,8.00 GPA,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,Master of Applied Science in Mechanical Engineering (MASC),,,,,,,2 Years,,,,,,,Accepted,Optional,,,,,,,,,,,,,,,,,,,"13,320","6,63,203",,,6.5,With a minimum score of 6.0 in each component,,,,,,,,,,,900,"44,811",Masters Program,,,,,,,,,,,65,"With 60 reading, 60 writing, 60 listening, and 60 speaking",,,960,"47,798",,,,,,Public,,,,,,,,,,,,,,,,,No,,,,,425,"21,161",,,,,,,,,,,,,,,,,,,,,,,,,93,"Reading and Listening- 22, Writing and Speaking- 21",,,550,"27,385","CAD 16,629","Rs. 8,27,958",474,"23,600",,,https://studyabroad.shiksha.com/canada/universities/university-of-british-columbia/masc-in-mechanical-engineering-vancouver,,,,,
"23,558",Rs 14.8 Lakhs,"11,72,953",Yes,,,,,,,,,,,,,70%,,,,,"1,200","59,748",,,,,,,,,,,No specific cutoff mentioned,,,,,,,Master of Engineering in Mechanical Engineering,,,,,,,12 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,With minimum 5.0 in each band,,,"1,102","54,869",,,,,,,"1,224","60,943",Masters Program,,,,,,,,,"2,700","1,34,433",,,,,,,,,,,,Public,,,,,,,,,,,,,,,http://www.uottawa.ca/graduate-studies/students/awards/international-masters,"['International students have the chance to be awarded scholarships based on their academic achievement.Each faculty holds their own competition with their criteria, scholarships are awarded in accordance with the faculty’s priorities until the funds are depleted']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,"CAD 6,226","Rs. 3,09,993",,,,,https://studyabroad.shiksha.com/canada/universities/university-of-ottawa/m-eng-in-mechanical-engineering,,,,,
"16,373",Rs 16.1 Lakhs,"8,15,212",Yes,,,,,,,,,,,,,3.30 GPA,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,MEng in Mechanical Engineering,,,203,"10,107",,,18 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,447","6,69,526",,,7,,,,,,,,232,"11,551",,,993,"49,441",Masters Program,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,327,"16,281",,,,,,,,,Yes,,,,,,,,,,,,,,,,,542,,,"26,986",178,"8,863",,,,,,,,,92,With each component score no less than 20,,,,,"CAD 15,922","Rs. 7,92,756",,,,,https://studyabroad.shiksha.com/canada/universities/mcgill-university/mengg-in-mechanical-engineering,,,,,
"19,100",Rs 15.1 Lakhs,"9,50,989",Yes,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,"1,000","49,790",,,,,No specific cutoff mentioned,,,535,"26,638",,,Graduate Certificate in Manufacturing Management,,,,,,,1 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,800","3,38,572",,,6.5,,,,,,,,,,300,"14,937",280,"13,941",Masters Certificate Program,,,,,"1,600","79,664",,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,With a minimum of 21 in each section,,,,,"CAD 11,315","Rs. 5,63,374",800,"39,832",,,https://studyabroad.shiksha.com/canada/universities/sheridan-college-institute-of-technology-advanced-learning/graduate-certificate-in-manufacturing-management,,,,,No work experience mentioned
"10,109",Rs 9.7 Lakhs,"5,03,327",Yes,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,Master of Engineering in Mechanical Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,642","4,30,285",,,6.5,,,,,,,,,,,,292,"14,539",Masters Program,41,"2,041",,,,,,,,,61,,,,,,,,,,,Public,,,,,,,,,41,"2,041",,,,,http://umanitoba.ca/faculties/graduate_studies/funding/international.html,"[""The University offers International Graduate Student Entrance Scholarship (IGSES) to the students entering their first year of full-time graduate studies in pursuit of a Master's, PhD or Graduate Diploma""]",Yes,155,"7,717",,,,,,,,,,,,,,,,35,"1,743",,,,,,,,,,,,86,Minimum score of 20 in each section,175,"8,713",,,"CAD 9,381","Rs. 4,67,080",,,,,https://studyabroad.shiksha.com/canada/universities/university-of-manitoba/m-eng-mechanical-engineering,,,,,
"24,060",Rs 24.1 Lakhs,"11,97,947",Yes,,,,,,,,,,,,,75%,,,,,"2,250","1,12,028",,,,,,,,,,,No specific cutoff mentioned,,,,,,,Masters of Engineering in Mechanical and Mechatronics Engineering,,,,,,,1-2 Years,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,"13,680","6,81,127",,,6.5,With writing: 6.0 and speaking: 6.0,,,"1,301","64,777",,,,,,,612,"30,471",Masters Program,,,,,,,,,"6,450","3,21,146",60,With writing: 60 and speaking: 60,,,,,,,,,,Public,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,With 22 in writing; 20 speaking; 20 reading; 18 listening,,,,,"CAD 24,293","Rs. 12,09,548",,,,,https://studyabroad.shiksha.com/canada/universities/university-of-waterloo/masters-of-engineering-in-mechanical-engineering,,,,,
"14,508",Rs 7.8 Lakhs,"7,22,353",Yes,,,287,"14,290",,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,MASc Mechanical Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,612,"30,471",Masters Program,,,,,,,,,,,,,,,,,,,,,,Public,,,,,217,"10,804",,,,,30,"1,494",,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,With a range of 90-91,,,,,"CAD 1,146","Rs. 57,059",,,,,https://studyabroad.shiksha.com/canada/universities/york-university/masc-mechanical-engineering,,,,,
