1st Year Fee in Euro,1st Year Total Fee,1st year Fee in INR,Accomodation Offered,Administration Fee Euro ,Administration Fee INR ,Administrative fee Euro ,Administrative fee INR ,Admissions process Fee Euro ,Admissions process Fee INR ,Application fee Euro ,Application fee INR ,Bachelors,Book and Materials Euro ,Book and Materials INR ,Books & Supplies Euro ,Books & Supplies INR ,Books and Supplies Euro ,Books and Supplies INR ,Class 12th,CourseName,Duration,Enrolment Fee Euro ,Enrolment Fee INR ,Fees Euro ,Fees INR ,GMAT Recommendation,GRE,GRE Recommendation,Hostel & Meals Euro ,Hostel & Meals INR ,IELTS,IELTS Recommendation,Insurance Euro ,Insurance INR ,Learning material Euro ,Learning material INR ,Level,Living cost Euro ,Living cost INR ,Miscellaneous Euro ,Miscellaneous Expenses Euro ,Miscellaneous Expenses INR ,Miscellaneous Fees Euro ,Miscellaneous Fees INR ,Miscellaneous INR ,Miscellaneous expense Euro ,Miscellaneous expense INR ,Other incidentals Euro ,Other incidentals INR ,Private/Public,Schol Link,Schol Text,Scholarship Offered,Semester Contribution Euro ,Semester Contribution INR ,Semester Fee Euro ,Semester Fee INR ,Semester Fees Euro ,Semester Fees INR ,Semester Tickets Euro ,Semester Tickets INR ,Service Contribution Euro ,Service Contribution INR ,State Administration Fee Euro ,State Administration Fee INR ,Student Representative Organization Euro ,Student Representative Organization INR ,Student Service Fee Euro ,Student Service Fee INR ,Student Support Fee Euro ,Student Support Fee INR ,Student activity fee Euro ,Student activity fee INR ,Student’s union fee Euro ,Student’s union fee INR ,Study Materials Euro ,Study Materials INR ,TOEFL,TOEFL Recommendation,Total Euro ,Total INR ,Transportation Euro ,Transportation INR ,URL,University Fees Euro ,University Fees INR ,Work experience
0.00,Rs 44.8 Thousand,0,No,,,,,,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,Master of Science in Automotive Systems,2 Years,,,607,"44,833",,,,,,Accepted,Must have more than 5 points,,,,,Masters Program,,,,,,,,,,,,,Public,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,80,,Euro 607,"Rs. 44,833",,,https://studyabroad.shiksha.com/germany/universities/technical-university-of-berlin/master-of-science-in-automotive-systems,,,
0.00,Rs 41.2 Thousand,0,No,,,,,,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,M.Sc. in Automotive and Mechatronics,2 Years,,,,,,,,,,Accepted,,,,,,Masters Program,,,,,,,,,,,,,Public,http://www.international-office.uni-bayreuth.de/en/05_Grants/index.html#stipendien_stud,"['Starting with their 2nd semester at the University of Bayreuth foreign students have the opportunity to apply for an educational grant at the International Office.\nGrants for financial assistance consist of government aid from the Free State of Bavaria, financial aid from the DAAD and funding from tuition fees paid by German students at the University of Bayreuth.\nThe University of Bayreuth does not provide funding to students who complete their first semester at the University of Bayreuth.']",Yes,,,208,"15,363",,,,,,,,,,,,,,,,,,,,,Accepted,,Euro 558,"Rs. 41,214",350,"25,851",https://studyabroad.shiksha.com/germany/universities/university-of-bayreuth/m-sc-in-automotive-components-engineering-and-mechatronics-acem,,,
0.00,Rs 1.4 Lakhs,0,No,,,,,,,,,No specific cutoff mentioned,700,"51,702",,,,,No specific cutoff mentioned,MSc Automotive Engineering and Transport,1.5 Years,,,,,,,,,,5.5,,800,"59,088",,,Masters Program,,,,,,,,,,,,,Public,http://www.rwth-aachen.de/cms/root/Studium/Im-Studium/Stipendien-Foerderung/~bdma/DAAD-Stipendien-fu,"['', 'The DAAD is an institution jointly established by the German universitiesto promote relations of German institutions of higher education with international universities and arranges exchange programmes for academics and students']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,90,,"Euro 1,900","Rs. 1,40,334",,,https://studyabroad.shiksha.com/germany/universities/rwth-aachen-university/msc-automotive-engineering-and-transport,400,"29,544",
0.00,Rs 1.4 Lakhs,0,No,,,60,"4,432",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,Masters in Mechatronics,2 Years,,,,,,,,,,Accepted,Not mandatory,80,"5,909",,,Masters Program,,,,,,,,,52,"3,841","1,000","73,860",Public,http://www.ia.uni-stuttgart.de/internat/studierende/practical/living/financing/index.en.html,['There are many scholarships that are awarded to international students'],Yes,,,,,333,"24,595",380,"28,067",,,,,,,,,,,,,,,,,,,"Euro 1,905","Rs. 1,40,703",,,https://studyabroad.shiksha.com/germany/universities/university-of-stuttgart/masters-in-mechatronics,,,
0.00,Rs 2.8 Lakhs,0,No,,,,,,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,MEng in Design and Development for Automotive and Mechanical Engineering,1.5 Years,300,"22,158",,,,,,,,6,,,,,,Masters Program,,,,"3,500","2,58,510",,,,,,,,Public,,,No,,,,,,,,,,,,,,,,,,,,,,,,,71,,"Euro 3,800","Rs. 2,80,668",,,https://studyabroad.shiksha.com/germany/universities/esslingen-university-of-applied-sciences/meng-in-design-and-development-for-automotive-and-mechanical-engineering,,,No work experience mentioned
"1,000",Rs 3.5 Lakhs,"73,860",Yes,,,,,,,50,"3,693",,,,,,,,,Master of Science in Automotive Technology,2 Years,,,,,,,,"3,000","2,21,580",Accepted,Not Mandatory,,,,,Masters Program,,,,,,,,,263,"19,425",,,Public,,,No,470,"34,714",,,,,,,,,,,,,,,,,,,,,,,,,"Euro 3,783","Rs. 2,79,412",,,https://studyabroad.shiksha.com/germany/universities/braunschweig-university-of-technology/master-of-science-in-automotive-technology,,,
0.00,Rs 45.8 Thousand,0,No,,,,,,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,Master's in Mechanical Engineering and Management,2 Years,,,,,,,,,,6.5,,,,,,Masters Program,,,,,,,,,,,,,Public,https://www.tuhh.de/alt/tuhh/education/students/financing-your-studies/scholarships/scholarships-for-international-students.html,"[""1) DAAD offers scholarships for international students who are characterized by outstanding commitment for other international students. The scholarship is valid for a six months,it can be Extended by application\n2) Financial Assistance for Final Exams are offered to students who completes their degree courses  successfully  within one year, have good grades and who are in financial need. The scholarship is valid for a maximum of 6 months. The student's income affect the amount of the scholarship granted. Deadline-End of February\n3) Assistance for Students in financial difficulties is offered to students who are in financial difficulty and whose financial difficulty can be proved. Applications can be handed in at any time of the year\n4) International Students TUHH whose academic performance at TUHH is significantly higher than that of their peers are offered a scholarship for 12 months. Deadline- April""]",Yes,620,"45,793",,,,,,,,,,,,,,,,,,,,,,,90,,Euro 620,"Rs. 45,793",,,https://studyabroad.shiksha.com/germany/universities/hamburg-university-of-technology/master-s-in-mechanical-engineering-and-management,,,
0.00,Rs 2.5 Lakhs,0,No,,,,,,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,Master's in Mechatronics,2 Years,,,,,,,,,,Accepted,Not mandatory,792,"58,497",300,"22,158",Masters Program,,,,,,"1,530","1,13,006",,,,,,Public,https://www.fau.eu/international/international-applicants/bachelors-masters-state-examinations/during-your-studies/scholarships-for-international-students-about-to-graduate/,['The Central Office for International Affairs awards scholarships for international students who are about to finish their degree twice a year.The funding for these scholarships is provided by the Bavarian government'],Yes,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,Not mandatory,"Euro 3,442","Rs. 2,54,226",820,"60,565",https://studyabroad.shiksha.com/germany/universities/friedrich-alexander-university-erlangen-nuremberg/master-s-in-mechatronics,,,
540,Rs 1.4 Lakhs,"39,884",No,505,"37,299",,,,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,Master of Science in Mechanical and Process Engineering,2 Years,,,,,,,,,,Accepted,Not mandatory,800,"59,088",,,Masters Program,,,,,,,,,,,,,Public,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"Euro 1,305","Rs. 96,387",,,https://studyabroad.shiksha.com/germany/universities/technische-universit-t-darmstadt/master-of-science-in-mechanical-and-process-engineering,,,
0.00,Rs 79.5 Thousand,0,No,,,,,,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,Master of Science in Mechatronics,2 Years,,,,,,Accepted,,,,6,,672,"49,634",,,Masters Program,,,,,,,,,,,,,Public,,,No,,,,,,,,,,,,,,,,,,,404,"29,839",,,,,79,,"Euro 1,076","Rs. 79,473",,,https://studyabroad.shiksha.com/germany/universities/fh-aachen-university-of-applied-sciences/master-of-science-in-mechatronics,,,
