1st Year Fee in USD,1st Year Total Fee,1st year Fee in INR,Academic Excellence & Success Fee INR ,Academic Excellence & Success Fee USD ,Academic Excellence Fee INR ,Academic Excellence Fee USD ,Academic Facilities Fee INR ,Academic Facilities Fee USD ,Academic Fees INR ,Academic Fees USD ,Academic Records Fee INR ,Academic Records Fee USD ,Accommodation Reservation Charge INR ,Accommodation Reservation Charge USD ,Accommodation Service Fee INR ,Accommodation Service Fee USD ,Accomodation Offered,Ackerman/Kerckhoff Seismic Fee INR ,Ackerman/Kerckhoff Seismic Fee USD ,Activity & Service fee INR ,Activity & Service fee USD ,Activity Fee INR ,Activity Fee USD ,Activity Fees INR ,Activity Fees USD ,Additional Assessment Fee INR ,Additional Assessment Fee USD ,Additional fee INR ,Additional fee USD ,Administrative Fee INR ,Administrative Fee USD ,Advising & Assessment Fee INR ,Advising & Assessment Fee USD ,Application Fee INR ,Application Fee USD ,Application Fees INR ,Application Fees USD ,Application fee INR ,Application fee USD ,Associated Student Body Fee INR ,Associated Student Body Fee USD ,Associated Students Inc INR ,Associated Students Inc USD ,Athletic Fee INR ,Athletic Fee USD ,Athletic fee INR ,Athletic fee USD ,Bachelors,Between Semesters INR ,Between Semesters USD ,Books & Supplies INR ,Books & Supplies USD ,Books INR ,Books USD ,Books and Supplies INR ,Books and Supplies USD ,Books and Supplies fee INR ,Books and Supplies fee USD ,Books and supplies INR ,Books and supplies USD ,Books/Supplies INR ,Books/Supplies USD ,Books/Supplies/Transport/Personal INR ,Books/Supplies/Transport/Personal USD ,Books/supplies/other expenses INR ,Books/supplies/other expenses USD ,Building Fee INR ,Building Fee USD ,COE Program Enhancement Fee INR ,COE Program Enhancement Fee USD ,Campus Based Fees INR ,Campus Based Fees USD ,Campus Fee INR ,Campus Fee USD ,Campus Fees INR ,Campus Fees USD ,Campus Life Fee INR ,Campus Life Fee USD ,Campus Rec Facility Fee INR ,Campus Rec Facility Fee USD ,Campus Union Fee INR ,Campus Union Fee USD ,Campus security Fee INR ,Campus security Fee USD ,Capital Construction Fee INR ,Capital Construction Fee USD ,Class 12th,Clothing/ Maintenance INR ,Clothing/ Maintenance USD ,College Fee INR ,College Fee USD ,Commencement Fee INR ,Commencement Fee USD ,Comprehensive Fee INR ,Comprehensive Fee USD ,Computer / Technology Fee INR ,Computer / Technology Fee USD ,Computer Purchase INR ,Computer Purchase USD ,Computer/Cell Phone INR ,Computer/Cell Phone USD ,Computing and Network Services INR ,Computing and Network Services USD ,CourseName,Discipline Fee INR ,Discipline Fee USD ,Document Evaluation INR ,Document Evaluation USD ,Document Fee INR ,Document Fee USD ,Duration,Early Childhood Edu Center Fee INR ,Early Childhood Edu Center Fee USD ,Engineering Activity Fee INR ,Engineering Activity Fee USD ,Engineering Equipment Fee INR ,Engineering Equipment Fee USD ,Engineering Fee INR ,Engineering Fee USD ,Engineering tuition surcharge INR ,Engineering tuition surcharge USD ,Enrollment Deposit INR ,Enrollment Deposit USD ,Enrollment Fee INR ,Enrollment Fee USD ,Enrollment deposit fee INR ,Enrollment deposit fee USD ,Facilities Fee INR ,Facilities Fee USD ,Fees INR ,Fees USD ,GRE,GRE Recommendation,General Activity Fee INR ,General Activity Fee USD ,General Fee INR ,General Fee USD ,Government Fee INR ,Government Fee USD ,Graduate Differential Fee INR ,Graduate Differential Fee USD ,Graduate Entering Fee INR ,Graduate Entering Fee USD ,Graduate General Fee INR ,Graduate General Fee USD ,Graduate Program Enhancement Fees INR ,Graduate Program Enhancement Fees USD ,Graduate Program Fee INR ,Graduate Program Fee USD ,Graduate Senate Tax INR ,Graduate Senate Tax USD ,Graduate Student Activity Fee INR ,Graduate Student Activity Fee USD ,Graduate Student Association Fee INR ,Graduate Student Association Fee USD ,Health Care Allowance INR ,Health Care Allowance USD ,Health Center Fee INR ,Health Center Fee USD ,Health Fee INR ,Health Fee USD ,Health Service Fee INR ,Health Service Fee USD ,Health Services Fee INR ,Health Services Fee USD ,Health and Counseling Center Fee INR ,Health and Counseling Center Fee USD ,Health and Wellness Fee INR ,Health and Wellness Fee USD ,Health fee INR ,Health fee USD ,Hostel & Meals INR ,Hostel & Meals USD ,Housing Application Fee INR ,Housing Application Fee USD ,Housing Application Fees INR ,Housing Application Fees USD ,Housing Deposit INR ,Housing Deposit USD ,Housing Fee INR ,Housing Fee USD ,IELTS,IELTS Recommendation,IT Service and Maintenance Fee INR ,IT Service and Maintenance Fee USD ,ITIE Fee INR ,ITIE Fee USD ,Incidentals INR ,Incidentals USD ,Information Technology Fee INR ,Information Technology Fee USD ,Information tech fee INR ,Information tech fee USD ,Insurance INR ,Insurance USD ,Intercollegiate Athletics Fee INR ,Intercollegiate Athletics Fee USD ,International Fee INR ,International Fee USD ,International Infrastructural Fee INR ,International Infrastructural Fee USD ,International Services Charge INR ,International Services Charge USD ,International Student Enrollment Fe INR ,International Student Enrollment Fe USD ,International Student Fee INR ,International Student Fee USD ,International Student Service Fee INR ,International Student Service Fee USD ,International student fee INR ,International student fee USD ,Lab Fee INR ,Lab Fee USD ,Laboratory Fees INR ,Laboratory Fees USD ,Level,Library & IT Fee INR ,Library & IT Fee USD ,Library Automation & Technology Fee INR ,Library Automation & Technology Fee USD ,Library Fee INR ,Library Fee USD ,Library Services Fee INR ,Library Services Fee USD ,Living Expenses INR ,Living Expenses USD ,Living expenses INR ,Living expenses USD ,Maintenance Fee INR ,Maintenance Fee USD ,Maintenance of Matriculation Fee INR ,Maintenance of Matriculation Fee USD ,Mandatory Fees INR ,Mandatory Fees USD ,Mandatory Health Fee INR ,Mandatory Health Fee USD ,Mandatory fees INR ,Mandatory fees USD ,Material & Supply Fee INR ,Material & Supply Fee USD ,Matriculation Fee INR ,Matriculation Fee USD ,Medical Plans INR ,Medical Plans USD ,Medical Service Fee INR ,Medical Service Fee USD ,Miscellaneous Expense INR ,Miscellaneous Expense USD ,Miscellaneous Fee INR ,Miscellaneous Fee USD ,Miscellaneous Fees INR ,Miscellaneous Fees USD ,Miscellaneous INR ,Miscellaneous USD ,Miscellaneous and Personal Expense INR ,Miscellaneous and Personal Expense USD ,Miscellaneous expense INR ,Miscellaneous expense USD ,Miscellaneous expenses INR ,Miscellaneous expenses USD ,Miscellaneous fee INR ,Miscellaneous fee USD ,Miscellaneous/Personal INR ,Miscellaneous/Personal USD ,New Student Fee INR ,New Student Fee USD ,New international student fee INR ,New international student fee USD ,Non resident financial aid fee INR ,Non resident financial aid fee USD ,One to One Fitness INR ,One to One Fitness USD ,Orientation Fee INR ,Orientation Fee USD ,Other Costs INR ,Other Costs USD ,Other Mandatory fees INR ,Other Mandatory fees USD ,Other expenses INR ,Other expenses USD ,Other fees INR ,Other fees USD ,PTE,PTE Recommendation,Personal & Misc. INR ,Personal & Misc. USD ,Personal & Miscellaneous INR ,Personal & Miscellaneous USD ,Personal / Misc INR ,Personal / Misc USD ,Personal Expenses INR ,Personal Expenses USD ,Personal INR ,Personal USD ,Personal expense INR ,Personal expense USD ,Personal expenses INR ,Personal expenses USD ,Personal/ travel Expenses INR ,Personal/ travel Expenses USD ,Personal/Miscellaneous INR ,Personal/Miscellaneous USD ,Private/Public,Program Fee INR ,Program Fee USD ,Property Deposit Fee INR ,Property Deposit Fee USD ,Rec Sports Fee INR ,Rec Sports Fee USD ,Records Initiation Fee INR ,Records Initiation Fee USD ,Recreation Center Expansion Fee INR ,Recreation Center Expansion Fee USD ,Recreation Center Fee INR ,Recreation Center Fee USD ,Recreation Fee INR ,Recreation Fee USD ,Recreation and Wellness Center Fee INR ,Recreation and Wellness Center Fee USD ,Reg Fee INR ,Reg Fee USD ,Registration Fee INR ,Registration Fee USD ,Registration and services fee INR ,Registration and services fee USD ,Required Fees INR ,Required Fees USD ,SPARC Fee INR ,SPARC Fee USD ,Schol Link,Schol Text,Scholarship Offered,School Fee INR ,School Fee USD ,School Supplies & Misc INR ,School Supplies & Misc USD ,"Security, Safety, and Transportatio INR ","Security, Safety, and Transportatio USD ",Service Fee INR ,Service Fee USD ,Special Service Fee INR ,Special Service Fee USD ,Student Activity Fee INR ,Student Activity Fee USD ,Student Affairs Fee INR ,Student Affairs Fee USD ,Student Assessment Fee INR ,Student Assessment Fee USD ,Student Athletic Fee INR ,Student Athletic Fee USD ,Student Athletics Fee INR ,Student Athletics Fee USD ,Student Center Fee INR ,Student Center Fee USD ,Student Computing Fee INR ,Student Computing Fee USD ,Student Development Fee INR ,Student Development Fee USD ,Student Excellence Fee INR ,Student Excellence Fee USD ,Student Facility Fee INR ,Student Facility Fee USD ,Student Fees INR ,Student Fees USD ,Student Financial Aid fee INR ,Student Financial Aid fee USD ,Student Health Fee INR ,Student Health Fee USD ,Student Health Services INR ,Student Health Services USD ,Student Life Fee INR ,Student Life Fee USD ,Student Orientation fee INR ,Student Orientation fee USD ,Student Programs Fee INR ,Student Programs Fee USD ,Student Programs and Services Fee INR ,Student Programs and Services Fee USD ,Student Service Facility Fee INR ,Student Service Facility Fee USD ,Student Service Fee INR ,Student Service Fee USD ,Student Services Fee INR ,Student Services Fee USD ,Student Success Fee INR ,Student Success Fee USD ,Student Union Fee INR ,Student Union Fee USD ,Student Union fee INR ,Student Union fee USD ,Sustainability fee INR ,Sustainability fee USD ,Swinney Rec fee INR ,Swinney Rec fee USD ,TOEFL,TOEFL Recommendation,Tech Fee INR ,Tech Fee USD ,Technology Fee INR ,Technology Fee USD ,Technology Fees INR ,Technology Fees USD ,Technology Infrastructure Fee INR ,Technology Infrastructure Fee USD ,Technology fee INR ,Technology fee USD ,Telephone/Cell Phone INR ,Telephone/Cell Phone USD ,Textbooks INR ,Textbooks USD ,Thesis Processing Fee INR ,Thesis Processing Fee USD ,Total INR ,Total USD ,Transport/Miscellaneous INR ,Transport/Miscellaneous USD ,Transportation Fee INR ,Transportation Fee USD ,Transportation INR ,Transportation USD ,Tuition Deposit INR ,Tuition Deposit USD ,UPass Fee INR ,UPass Fee USD ,URL,University Center Fee INR ,University Center Fee USD ,University Charge INR ,University Charge USD ,University Facilities Fee INR ,University Facilities Fee USD ,University Services Fee INR ,University Services Fee USD ,University Student Union INR ,University Student Union USD ,University and Student Fees INR ,University and Student Fees USD ,University-Student Union INR ,University-Student Union USD ,Wellness Center Fee INR ,Wellness Center Fee USD ,Wellness Fee INR ,Wellness Fee USD ,Work experience
"15,600",Rs 24.2 Lakhs,"10,08,540",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,"1,10,358","1,707",,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,M.S. Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,304,"Applicants whose combined GRE score is below 304 or Analytical Writing score is below a 3.5 will be reviewed by the Graduate Admissions Committee for Engineering, which will consider whether the applicant may be admitted on academic probation",,,"9,051",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,92,248","15,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,64,470","2,544",,,,,,,Private,,,,,,,,,,,,,"3,233",50,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,"5,495",85,,,,,,,,,"Rs. 14,15,770","USD 21,899",,,,,"1,30,916","2,025",,,,,https://studyabroad.shiksha.com/usa/universities/letourneau-university/ms-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"28,380",Rs 24.7 Lakhs,"18,34,767",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70 GPA,,,,,,,"64,650","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,With no less than 159 on quantitative part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,35,534","5,190",,,"3,233",50,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,55,936","2,412",,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,"Rs. 6,33,699","USD 9,802",,,,,"74,348","1,150",,,,,https://studyabroad.shiksha.com/usa/universities/university-of-kentucky/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"14,070",Rs 18.3 Lakhs,"9,09,626",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,"58,185",900,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MS in Mechanical Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,Requirement may be waived if applicants degree is from ABET accredited institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,93,487","9,180",,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,"12,930",200,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,29,300","2,000",,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,"Rs. 9,23,202","USD 14,280",,,,,"1,29,300","2,000",,,,,https://studyabroad.shiksha.com/usa/universities/south-dakota-school-of-mines-technology/ms-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"48,140",Rs 40.3 Lakhs,"31,12,251",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,99,282","13,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,"20,171",312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rs. 9,19,452","USD 14,222",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/massachusetts-institute-of-technology/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"29,628",Rs 33.2 Lakhs,"19,15,450",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,MSc Industrial Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,26,901","15,884",,,,,,,,,Accepted,,,,,,,,,,,,"2,69,397","4,167",,,,,,,,,,,,,,,"11,637",180,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,,,,,"98,915","1,530",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,"Rs. 14,06,849","USD 21,761",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/new-york-university/msc-industrial-engineering,,,,,,,,,,,,,,,,,,,
"13,116",Rs 20.3 Lakhs,"8,47,949",,,,,,,,,,,,,,,Yes,,,,,,,,,,,"3,879",60,,,,,,,,,,,,,,,,,,,3.00 GPA,,,,,,,,,,,"1,25,938","1,948",,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,2 Years,,,,,,,,,,,,,,,"6,465",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,13,607","11,038",,,,,,,,,6,,,,,,,,,,,,"86,696","1,341",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,743","1,450",,,,,,,,,,,,,"12,025",186,,,,,53,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,667",165,,,"3,879",60,,,,,,,,,,,"17,132",265,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 11,85,681","USD 18,340",,,,,"93,936","1,453",,,,,https://studyabroad.shiksha.com/usa/universities/california-state-university-los-angeles-campus/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,"17,714",274,,,,,
"26,763",Rs 28.9 Lakhs,"17,30,228",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 GPA,,,"84,045","1,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,"3,233",50,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,"Score of 310 with 150, 160 and 4 for the verbal, quantitative and writing are recommended",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,08,578","12,507",,,,,,,,,6.5,,,,,,,,,,,,"1,41,260","2,185",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,233",50,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ecs.utdallas.edu/students/scholarshipforms/2015/Fact-Sheet-App-for-ME-2015.pdf,"['The Mechanical Engineering Department now offers a limited number of $1,000 competitive, merit-based scholarships to incoming graduate students.']",Yes,,,,,,,,,"19,395",300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,"Rs. 11,55,425","USD 17,872",,,,,"95,682","1,480",,,,,https://studyabroad.shiksha.com/usa/universities/the-university-of-texas-at-dallas/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"26,322",Rs 34.3 Lakhs,"17,01,717",,,,,,,,,,,,,,,Yes,"7,305",113,,,,,,,,,,,,,,,,,"8,081",125,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,"1,25,098","1,935",,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-3 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,86,042","15,252",,,,,,,,,7,,,,,,,,,,,,"2,35,455","3,642",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,098",249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,63,112","2,523",,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,"6,465",100,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,434","1,074",,,,,,,,,,,87,"Writing:  25
Speaking:  24
Reading:  21
Listening:  17",,,,,,,,,,,,,,,,,"Rs. 17,25,703","USD 26,693",,,,,"1,08,612","1,680",,,,,https://studyabroad.shiksha.com/usa/universities/university-of-california-los-angeles-campus/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
"34,525",Rs 39.8 Lakhs,"22,32,041",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,"1,30,916","2,025",,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Engineering in Materials Science and Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,Accepted,,,,"1,28,912","1,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,74,663","15,076",,,,,,,,,Accepted,Score of minimum 7.5 is recommended,,,,,,,,,,,"2,16,448","3,348",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,63,772","4,080",,,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sfs.upenn.edu/paying/paying-international-grants-scholarships.htm,"['Penn Grant is awarded from general University funds and is based on evaluated financial need.\nUniversity Named Scholarships are provided through direct gifts to the University and privately endowed funds established by alumni and friends.\nAll scholarships are need-based, so students must complete the financial aid process.']",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,Score of 100 or higher is recommended,,,"36,592",566,,,,,,,,,,,,,"Rs. 17,51,304","USD 27,089",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/university-of-pennsylvania/master-of-science-in-engineering-in-materials-science-and-engineering,,,,,,,,,,,,,,,,,,,
"27,872",Rs 26.3 Lakhs,"18,01,925",,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,,,,,,,,,,,,,Master of Science in Mechanical Engineering,,,,,,,1.5-2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,03,443","9,334","5,172",80,,,,,"38,790",600,,,,,,,,,,,,,"1,14,366","1,769",,,,,,,,,,,,,,,,,,,,,Masters Program,,,,,,,,,,,,,,,,,"71,115","1,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,"Rs. 8,32,886","USD 12,883",,,,,,,,,,,https://studyabroad.shiksha.com/usa/universities/georgia-institute-of-technology/master-of-science-in-mechanical-engineering,,,,,,,,,,,,,,,,,,,
