1st Year Fee in Pound,1st Year Total Fee,1st year Fee in INR,Accomodation Offered,Application Fee INR ,Application Fee Pound ,Application fee INR ,Application fee Pound ,Bachelors,Books & Supplies INR ,Books & Supplies Pound ,Books INR ,Books Pound ,Books and Stationary INR ,Books and Stationary Pound ,Books and Supplies INR ,Books and Supplies Pound ,Books and photocopying INR ,Books and photocopying Pound ,Books and supplies INR ,Books and supplies Pound ,Books/ Printing INR ,Books/ Printing Pound ,Books/equipment INR ,Books/equipment Pound ,Class 12th,Course Costs INR ,Course Costs Pound ,Course materials INR ,Course materials Pound ,CourseName,Deposit Fee INR ,Deposit Fee Pound ,Duration,Examination Fee INR ,Examination Fee Pound ,General Expenses INR ,General Expenses Pound ,Hall Deposit INR ,Hall Deposit Pound ,Health cost INR ,Health cost Pound ,Hostel & Meals INR ,Hostel & Meals Pound ,IELTS,IELTS Recommendation,Insurance INR ,Insurance Pound ,International Deposit INR ,International Deposit Pound ,Level,Living Expenses INR ,Living Expenses Pound ,Living cost INR ,Living cost Pound ,Living costs INR ,Living costs Pound ,Miscellaneous INR ,Miscellaneous Pound ,Miscellaneous expense INR ,Miscellaneous expense Pound ,Other Expenses INR ,Other Expenses Pound ,PTE,PTE Recommendation,Payment Administration INR ,Payment Administration Pound ,Personal Expense INR ,Personal Expense Pound ,Personal Expenses INR ,Personal Expenses Pound ,Personal expense INR ,Personal expense Pound ,Private/Public,Residence Booking fee INR ,Residence Booking fee Pound ,Schol Link,Schol Text,Scholarship Offered,Total INR ,Total Pound ,Transportation INR ,Transportation Pound ,URL,Work experience
"17,950",Rs 20.5 Lakhs,"14,99,902",Yes,,,,,60%,,,,,,,"27,073",324,,,,,,,,,No specific cutoff mentioned,,,,,MSc Mechanical Engineering,,,1 Years,,,,,,,,,"4,17,800","5,000",6.5,With no component less than 5.5,"10,027",120,,,Masters Program,,,,,,,,,,,,,62,,,,,,"66,848",800,,,Public,,,http://www.swansea.ac.uk/international/students/fees-and-funding/india/,['1) International Excellence Scholarships are available for students enrolling in Postgraduate programs\n2) International Merit Scholarships worth £2000 are offered. All Postgraduate applicants must be enrolling on an eligible course at Swansea University for the first time in September 2016'],Yes,"Rs. 5,46,817","Pound 6,544","25,068",300,https://studyabroad.shiksha.com/uk/universities/swansea-university/msc-mechanical-engineering,
"Pound 14,000",Rs 11.7 Lakhs,"Rs. 11,69,840",No,,,,,50%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,Automotive Engineering MSc,,,1 Years,,,,,,,,,,,6,With no element lower than 5.5,,,,,Masters Program,,,,,,,,,,,,,Accepted,With no component less than 51,,,,,,,,,Public,,,http://www.hud.ac.uk/international/scholarships/,"['', ' Santander Scholarships assist the most academically able graduates from leading universities across the world, as it provides three £5,000 scholarships each year and the scholarship is only applicable to one year of study ', "" University awards scholarships of up to £2,000 per year for every year of your course to its' international applicants, for this university will automatically consider any full-fee paying applicant that has to pay overseas fees for the scholarship "", ' Commonwealth Scholarships is also available for master students ', ' Chevening Scholarships, a prestigious and highly competitive award is a full scholarship covering tuition fees and living expenses for courses at postgraduate level, normally a one-year Master’s degree, in any subject and at any UK university']",Yes,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-huddersfield/msc-automotive-engineering,
"17,500",Rs 22.4 Lakhs,"14,62,300",Yes,,,,,No specific cutoff mentioned,,,"41,780",500,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Automotive Engineering,,,1 Years,,,"1,67,120","2,000",,,,,"5,24,339","6,275",6.5,,,,,,Masters Program,,,,,,,,,,,,,65,,,,,,,,,,Public,,,https://www.cranfield.ac.uk/Study/Postgraduate-degrees/International-students/Your-Country/information-for-students-from-India,"['', ' University provides a number of funding opportunities available to students from India wishing to study at Cranfield including the Chevening Scholarship and the Commonwealth Scholarship ', ' A variety of bursaries are available on a competitive basis']",Yes,"Rs. 7,75,019","Pound 9,275","41,780",500,https://studyabroad.shiksha.com/uk/universities/cranfield-university/msc-automotive-engineering,
"13,800",Rs 15.1 Lakhs,"11,53,128",Yes,,,,,50%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Mechanical Engineering,,,1 Years,,,,,,,,,"3,58,055","4,285",6,With no less than 5.5 in each sub-section,,,,,Masters Program,,,,,,,,,,,,,54,With Listening: 51; Reading: 51; Speaking: 51; Writing: 51,,,,,,,,,Public,,,https://www.lincoln.ac.uk/home/studyatlincoln/postgraduateprogrammes/scholarships/international/,"['', ' Global Postgraduate Scholarships: For self-funding international (non-UK/EU) students with overseas fee status applying for postgraduate programmes\n', ' Chevening Scholarships: For all international students who show outstanding leadership potential\n', ' Commonwealth Scholarships: The University of Lincoln offers scholarships under the Commonwealth Scholarships Part-Funding Arrangement to qualifying Masters and PhD students']",Yes,"Rs. 3,58,055","Pound 4,285",,,https://studyabroad.shiksha.com/uk/universities/university-of-lincoln/msc-mechanical-engineering,No work experience mentioned
"16,850",Rs 20.4 Lakhs,"14,07,986",Yes,,,,,60%,,,,,,,"12,534",150,,,,,,,,,No specific cutoff mentioned,,,,,MSc in Advanced Mechanical Engineering,,,1 Years,,,,,,,,,"5,48,571","6,565",6.5,With no band lower than 6.0,,,,,Masters Program,,,,,,,,,,,,,,,,,,,,,,,Public,,,https://www.liverpool.ac.uk/study/international/tuition-fees-and-scholarships/postgraduate/vice-chancellors-int-pgt/,"['Vice Chancellor’s International Attainment Postgraduate Taught Scholarship- Available for the first year of study ', ' Scholarship get automatically allocated to all eligible students']",Yes,"Rs. 6,27,953","Pound 7,515","66,848",800,https://studyabroad.shiksha.com/uk/universities/the-university-of-liverpool/msc-in-advanced-mechanical-engineering,
"Pound 10,950",Rs 9.1 Lakhs,"Rs. 9,14,982",Yes,,,,,55%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Mechanical Engineering,,,12 Months,,,,,,,,,,,6,,,,,,Masters Program,,,,,,,,,,,,,52,,,,,,,,,,Public,,,http://www.tees.ac.uk//sections/international/international_scholarships_criteria.cfm,"['', 'Teesside University offers a wide range of scholarships to International students\n ', 'Scholarship of £1000 or £1500 is provided\n', ""University provides different scholarships for different eligibility criteria's""]",No,,,,,https://studyabroad.shiksha.com/uk/universities/teesside-university/msc-mechanical-engineering,
"17,200",Rs 21.2 Lakhs,"14,37,232",Yes,,,,,55%,"12,534",150,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc in Automotive and Motorsport Engineering,,,1 Years,,,,,,,,,"4,60,833","5,515",6,Min 5.5 in all components,,,,,Masters Program,,,,,,,,,,,,,51,Min 51 in all subscores,,,,,"1,88,010","2,250",,,Public,,,http://www.brunel.ac.uk/international/fees-and-funding/scholarships,"['The Brunel International Scholarships: It is an annual award open to all international students pursuing Undergraduate, Postgraduate and Research courses ', 'University also offer different scholarships for Indian students, which are: Commonwealth Scholarships, Chevening Scholarships and Goa Education Trust (GET) Scholarships ', 'Various scholarship are also offered to Indian students through differnt institutions which are: Lady Meherbai D. Tata Educational Trust, JN Tata Endowment Trust, Inlaks Shivdasani Foundation, Aga Khan Foundation and FindaMasters.com']",Yes,"Rs. 6,86,445","Pound 8,215","25,068",300,https://studyabroad.shiksha.com/uk/universities/brunel-university/msc-in-automotive-and-motorsport-engineering,
"22,800",Rs 31.6 Lakhs,"19,05,168",Yes,"4,178",50,,,65%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc Robotics,,,1 Years,,,,,,,,,"5,58,933","6,689",6,Minimum 5.5 in all skills,,,,,Masters Program,,,"6,94,467","8,311",,,,,,,,,59,Minimum of 54 in all skills,,,,,,,,,Public,,,http://www.kcl.ac.uk/study/pg/funding/sources/pgt.aspx,"[""Offers President's Scholarships to international student""]",Yes,"Rs. 12,57,578","Pound 15,050",,,https://studyabroad.shiksha.com/uk/universities/king-s-college-london/msc-robotics,
"23,440",Rs 27.5 Lakhs,"19,58,646",Yes,,,,,65%,,,,,,,,,,,,,,,"65,177",780,No specific cutoff mentioned,,,,,MSc Mechanical Engineering,,,12 Months,,,,,,,,,"4,67,435","5,594",7,Minimum of 6.5 in each of the subtests,"7,186",86,,,Masters Program,,,,,,,,,,,,,69,Minimum of 59 in each Communicative Skill,,,,,,,"2,47,672","2,964",Public,,,http://www.ucl.ac.uk/prospective-students/graduate/taught/degrees/mechanical-engineering-msc,"['Offers various scholarships like the British Chevening Scholarships, Brown Family Bursary, Commonwealth Scholarship and Fellowship Plan, Commonwealth Shared Scholarship Scheme (CSSS), GREAT/UCL Scholarship']",Yes,"Rs. 7,87,469","Pound 9,424",,,https://studyabroad.shiksha.com/uk/universities/university-college-london/msc-mechanical-engineering,
"19,300",Rs 24.8 Lakhs,"16,12,708",Yes,,,,,60%,,,,,,,,,,,,,,,,,No specific cutoff mentioned,,,,,MSc in Mechanical Engineering,,,1 Years,"10,863",130,,,,,,,"4,21,727","5,047",6.5,No less than 6.0 in any element,,,,,Masters Program,"4,26,407","5,103",,,,,,,,,,,62,Minimum 55,"7,520",90,,,,,,,Public,,,http://www.nottingham.ac.uk/internationalstudents/scholarshipsfeesfinance/scholarships/masters-scholarships.aspx,"['Offers the Developing Solutions/Allan & Nesta Ferguson Charitable Trust Scholarship, Developing Solutions Masters Scholarship and Chevening Scholarships to international students']",Yes,"Rs. 8,66,517","Pound 10,370",,,https://studyabroad.shiksha.com/uk/universities/university-of-nottingham/msc-in-mechanical-engineering,
