,Country,CourseLink,CourseName,Duration,From,International Entry Req,The World Rank,Tuition fees,University,Venue
0, UK,https://www.hotcoursesabroad.com/india/course/uk/biotechnology-phd/56306810/program.html?nationCode=87&nationCntryCode=87,Biotechnology PhD,"Full Time
(4 years)","01-Oct-17, 05-Jan-18","Applicants need an IELTS score 7.0 overall with 7 in listening, 7 in writing, 6.5 in reading and 7 in speaking; TOEFL Internet Score 100 overall with 25 in each individual element; CAE Score: Grade A or B (with at least 193 in each individual element) plus a language centre assessment Or CPE Score: Grade A, B, or C (with at least 200 in each individual element).", 4,"£26,613.00 (22,09,025) 
per year",University of Cambridge,"University of Cambridge

The Old Schools,
Trinity Lane,
Cambridge,
Cambridgeshire,
CB2 1TN, England"
1, UK,https://www.hotcoursesabroad.com/india/course/uk/chemical-engineering-and-biotechnology-mphil/53817662/program.html?nationCode=87&nationCntryCode=87,Chemical Engineering and Biotechnology MPhil,"Full Time
(12 months)","01-Oct-17, 05-Jan-18","Applicants need an IELTS score 7.0 overall with 7 in listening, 7 in writing, 6.5 in reading and 7 in speaking; TOEFL Internet Score 100 overall with 25 in each individual element; CAE Score: Grade A or B (with at least 193 in each individual element) plus a language centre assessment Or CPE Score: Grade A, B, or C (with at least 200 in each individual element).", 4,"£25,770.00 (21,39,052) 
per year",University of Cambridge,"University of Cambridge

The Old Schools,
Trinity Lane,
Cambridge,
Cambridgeshire,
CB2 1TN, England"
2, UK,https://www.hotcoursesabroad.com/india/course/uk/advanced-chemical-engineering-biotechnology-msc/52401946/program.html?nationCode=87&nationCntryCode=87,Advanced Chemical Engineering with Biotechnology MSc,"Full Time
(1 year)",Oct-17,Students must achieve the College requirement in the appropriate English language qualification: Standard IELTS 6.5 overall (minimum 6.0 in all elements); Higher 7.0 overall (minimum 6.5 in all elements)., 8,"£29,000.00 (24,07,160) 
per year",Imperial College London,"South Kensington Campus

Exhibition Road,
Kensington and Chelsea,
London,
SW7 2AZ, England"
3, UK,https://www.hotcoursesabroad.com/india/course/uk/applied-biosciences-and-biotechnology-msc/56365996/program.html?nationCode=87&nationCntryCode=87,Applied Biosciences and Biotechnology MSc,"Full Time
(1 year)",Oct-17,Students must achieve the College requirement in the appropriate English language qualification: Standard IELTS 6.5 overall (minimum 6.0 in all elements); Higher 7.0 overall (minimum 6.5 in all elements)., 8,"£27,300.00 (22,66,050) 
per year",Imperial College London,"South Kensington Campus

Exhibition Road,
Kensington and Chelsea,
London,
SW7 2AZ, England"
4, UK,https://www.hotcoursesabroad.com/india/course/uk/neurotechnology-mres/56365944/program.html?nationCode=87&nationCntryCode=87,Neurotechnology MRes,"Full Time
(1 year)",Oct-17,Students must achieve the College requirement in the appropriate English language qualification: Standard IELTS 6.5 overall (minimum 6.0 in all elements); Higher 7.0 overall (minimum 6.5 in all elements)., 8,"£29,000.00 (24,07,160) 
per year",Imperial College London,"South Kensington Campus

Exhibition Road,
Kensington and Chelsea,
London,
SW7 2AZ, England"
5, USA,https://www.hotcoursesabroad.com/india/course/us-usa/masters-of-biotechnology/56970142/program.html?nationCode=87&nationCntryCode=87,Masters of Biotechnology,"Full Time
(Variable)","29-Aug-17, 10-Jan-18",googletag.cmd.push(function() { googletag.display('iltstxt'); });, 13,"USD $6,750 per 1 Course Unit.",University of Pennsylvania,"University of Pennsylvania

3451 Walnut Street,
PHILADELPHIA,
Pennsylvania,
19104, United States"
6, USA,https://www.hotcoursesabroad.com/india/course/us-usa/masters-of-biotechnology/56971534/program.html?nationCode=87&nationCntryCode=87,Masters of Biotechnology,"Full Time
(Variable)",To be confirmed,googletag.cmd.push(function() { googletag.display('iltstxt'); });, 13,"USD $6,750 / 1 Course Unit.",University of Pennsylvania,"University of Pennsylvania

3451 Walnut Street,
PHILADELPHIA,
Pennsylvania,
19104, United States"
7, USA,https://www.hotcoursesabroad.com/india/course/us-usa/m-biotechnology/47422/program.html?nationCode=87&nationCntryCode=87,M.A. in Biotechnology,"Full Time
(30 credit hours)",17 Jan,"Concerning equivalency of international baccalaureate degrees are made by the Graduate School. In general, only those international students who (a) have the equivalent of the U.S. baccalaureate degree with a superior examination record and (b) can understand rapid idiomatic English and can speak, write and read English with a high degree of facility are eligible for admission. The Graduate School accepts applications from students who have earned or will earn 3-year bachelor's degrees; applicants whose native language is not English and who have received an undergraduate degree from an institution in a country where the official language is not English; applicants who have received an undergraduate degree from a non-English speaking country and are now studying at the graduate level in the U.S. or another English-speaking country; Applicants who have studied for at least two years at a U.S. institution or at an institution in a country where the official language is English and earned the undergraduate (or bachelor’s) degree at that institution are not required to complete the English proficiency requirement. The Graduate School requires the following minimum scores: 600 on the TOEFL paper-and-pencil test; Graduate School requires the following standardized tests: The Graduate Record Examination General Test (GRE); GRE Subject Test scores, if required by the department or program; The TOEFL, IELTS, or ALP Essay Exam, in fulfillment of the English Proficiency Requirement. To determine if you must fulfill the English Proficiency Requirement", 16,Contact provider,Columbia University,"Graduate School of Arts and Sciences

109 Low Memorial Library,
MC 4306 535 West 116th Street,
NEW YORK,
New York,
10027, United States"
8, USA,https://www.hotcoursesabroad.com/india/course/us-usa/combined-degree-of-mba-master-of-business-administration-master-of-science-biotechnology/54114962/program.html?nationCode=87&nationCntryCode=87,Combined Degree of MBA - Master of Business Administration/Master of Science in Biotechnology,"Full Time
(3 years)",21-Aug-17,"A student must have an all degrees earned or expected from outside the United States (U.S.) – a credential evaluation is required – do not upload or mail transcripts; If coursework was earned outside of the U.S., but the degree was earned in the U.S. – only transcripts are required from all schools and must be in English. Other language requirements are the minimum score of TOEFL paper based test is 600 and computer based test is 250.", 17,"USD $1,290 per credit hours for MBA and USD $4,074 per course for MS.",Johns Hopkins University,"Washington, DC Campus

1717 Massachusetts Avenue., NW,
Suite 104,
WASHINGTON,
District Of Columbia,
20036, United States"
9, USA,https://www.hotcoursesabroad.com/india/course/us-usa/combined-degree-of-mba-master-of-business-administration-master-of-science-biotechnology/56714828/program.html?nationCode=87&nationCntryCode=87,Combined Degree of MBA - Master of Business Administration/Master of Science in Biotechnology,"Full Time
(3 years)",21-Aug-17,"A student must have an all degrees earned or expected from outside the United States (U.S.) – a credential evaluation is required – do not upload or mail transcripts; If coursework was earned outside of the U.S., but the degree was earned in the U.S. – only transcripts are required from all schools and must be in English. Other language requirements are the minimum score of TOEFL paper based test is 600 and computer based test is 250.", 17,"USD $1,290 per credit hours for MBA and USD $4,074 per course for MS.",Johns Hopkins University,"Washington, DC Campus

1717 Massachusetts Avenue., NW,
Suite 104,
WASHINGTON,
District Of Columbia,
20036, United States"
