,Programme Name,School Name,URL,academic requirements,application deadline,application procedure,begin,language,length,program length:,reqired:,teaching language:,teaching mode,teaching mode:,tuition fees
0,Master of Arts in Strategy and International Management (SIM-HSG),"University of St.Gallen, IfB",/universities/university-of-st.gallen-ifb/master-of-arts-in-strategy-and-international-management-sim-hsg-1/,academic background in business or economics,30 april,,september,english,1.5 years,1.5 years,academic background in business or economics,english,,full time,tuition fees for master’s programmeschf 1426 for matriculated domestic students in a regular semesterchf 3326 for matriculated foreign students in a regular semester
1,Grande École - Master in Management,HEC Paris School of Management,/universities/hec-paris-school-of-management/grande-ecole-master-in-management-1/,no academic background in business or economics required,"october, january, march and april",,september,"english, french",18 months,18 months,no academic background in business or economics required,"english, french",,full time,"tuition fees: eu: € 32,400 – non eu: €37,000"
2,Master in Management,IE Business School,/universities/ie-business-school/master-in-management/,no academic background in business or economics required,"ie business school has a rolling admissions process. thus, there are no application deadlines for any particular intake or program. however, given the limited number of places available in each intake, we recommend that you present your application one year prior to program commencement.","please note that no academic background in business or economics is required and that the maximum allowed full time working experience is 2 years by the start of the program.the application should be completed in the language (english or spanish) in which you plan to study the core part of the program.should the admissions committee grant you an interview upon the review of your application and supporting documents, you will be contacted to schedule an interview.it is recommended that the interview be conducted in person, as it is an integral part of the admissions process. interviews may be scheduled on campus, with one of our offices, in coordination with an ie event, or by phone or skype should you be unable to meet us in person.it will take roughly 2-3 weeks for the admissions committee to review your file after the interview and provide you with a final decision.admission is valid for two intakes, the intake you apply to and the following.apply now!",february and september,"english, spanish","the program has a duration of 10 to 13 months, depending on if you choose to complete the optional beyond borders experience (bbe) of the program or not.","the program has a duration of 10 to 13 months, depending on if you choose to complete the optional beyond borders experience (bbe) of the program or not.",no academic background in business or economics required,"english, spanish",,full time,"program fees for the master in management total €35,000 (prices are reviewed annually and are subject to change). if candidates choose to study the optional beyond borders experience (bbe), there is an additional fee of €5,000.fees for the master in management include:expenses related to learning activities, including, but not limited to: access to relevant technology, multimedia learning tools, conferences, access to physical and digital library resources, language training courses (english/spanish), pre-program classes before the start of the program, and access to the various ie centers of excellencea contribution to the ie foundationie business school - financial aid"
3,Masters in Management,"University of London, London Business School (LBS)",/universities/london-business-school-lbs/masters-in-management-1/,no academic background in business or economics required,"applicants are encouraged to apply as early as possible for the best chance of achieving a place, and in most cases you will receive a final decision within six to eight weeks of submitting your completed application. offers are made throughout the year.","to join the programme, you will have a good undergraduate degree from any study discipline; excelled in non-academic areas such as sports or the arts, or shown your leadership potential in community activities; less than one year of full-time, postgraduate work experience.you will need to submit all of the following before we are able to review your application:completed online application formessay questionscvundergraduate degree equivalent to a uk 2:1 or above (or expected grades if your degree is not yet completed)gmat (range of 600-800) / greielts, toefl, cambridge cpe, cae or pte academic score (if applicable)two references (academic or professional)application fee",september,english,1 year,1 year,no academic background in business or economics required,english,,full time,for details on fees and financing please visit the lbs mim fees & financing page.
4,Master of Science in Management,Essec Business School,/universities/essec-business-school/master-of-science-in-management/,no academic background in business or economics required,,,august,,msc in management is an 18 month course + 18 month traineeship.,msc in management is an 18 month course + 18 month traineeship.,no academic background in business or economics required,english,,full time,
5,Master in Management,ESCP Europe,/universities/escp-europe/master-in-management/,no academic background in business or economics required,,,september,,2 years,2 years,no academic background in business or economics required,"english, french, german, spanish",,full time,
6,Master in Management (MSc),WHU Otto Beisheim School of Management,/universities/whu-otto-beisheim-school-of-management/master-in-management-msc-1/,academic background in business or economics,"the application deadline for the next term beginning in september 2017 will be in early may, 2017.","besides a bachelor’s degree in a business administration- or finance-related field of study with at least 180 ects (or equivalent credit points), the admission requirements include:gmat score of at least 600 (whu code: fbr-fh-93), or gre of at least 155 verbal and 155 quantitative, or tm-base of at least 103toefl (min. score: 100 ibt) or ielts (min. score 7.0)practical experience (five months internship/s or equivalent)international experience (study or internship abroad)completion of whu's application formspassing of whu's admissions test",early september each year,english,"17-21 months, depending on the chosen track","17-21 months, depending on the chosen track",academic background in business or economics,english,full time,full time,"tuition for the master in management program is eur 19,500 (90 credit track) or eur 24,000 (120 credit track). this fee includes the tuition for the capstone module abroad in the 90 credit track or the semester abroad in the 120 credit track. a non-refundable fee of €90 is charged for processing the application. taking part in a double degree program involves additional costs that depend on the partner’s tuition fees."
7,Master in International Management,ESADE Business School,/universities/esade-business-school/master-in-international-management/,no academic background in business or economics required,every month until june. for cems applicants last deadline is may.,application proceduresubmit your admission application onlineyou can do this at www.esade.edu/msc from september until june (may for cems mim candidates).take the gmat or greit is essential to take one of these two tests for admission. send us the required documentation- your university academic record- english level certificate- gmat or gre score- 2 letters of recommendation- essays- cvinterviewan interview is mandatory for all candidatesentry requirementsgraduates in business management or a similar discipline. graduates with a different academic background are required to take the management immersion programmefluent in english. no knowledge of spanish requiredprofessional experience not required,september,english,1 year,1 year,no academic background in business or economics required,english,,full time,"€26,100 - €35,100"
8,Master’s in International Management (MIM),CEMS,/universities/cems/masters-in-international-management-mim-1/,no academic background in business or economics required,,"to study the cems master in management you need to be enrolled in a master in management at a cems partner university first. usually you study the first year in that program before you join the cems master. ""joining the cems master"" means that you get special lectures in the second year:either one semester of your second master's year at your home university and the second semester at a cems partner universityor both semesters of the second master's year at a cems partner university",depends on the partner institution,,,,no academic background in business or economics required,english,,full time,
9,MSc in International Management,Bocconi University,/universities/universita-bocconi/msc-in-international-management/,no academic background in business or economics required,,,,,2 years (120 ects),2 years (120 ects),no academic background in business or economics required,english,,full time,
10,MSc in International Management / CEMS,"RSM - Rotterdam School of Management, Erasmus University",/universities/rsm-rotterdam-school-of-management-erasmus-university/msc-in-international-management-cems/,academic background in business or economics,31 january,"to join our international management / cems programme, you must have a university bachelor’s degree – equal to a bachelor’s degree from a dutch research university – in business administration containing qualitative and quantitative research methods and statistics.you will also need a solid grounding in mathematics, statistics and english as well as good results obtained in your bachelor programme. for the im / cems programme, additional language requirements apply. you will be assessed on the basis of a dossier containing your academic background, grade point average (gpa), motivation and relevant test scores such as gmat and/or toefl / ielts.for im / cems an interview and an assessment will be part of the selection procedure. non-rsm bachelor graduates must apply for admission through our online application system (olaf). information about the entry requirements and application process can be obtained by visiting rsm.nl/masteradmissions",september,english,18 months,18 months,academic background in business or economics,english,,full time,"for academic year 2015-2016non-eea students: €16,400 per yeareea/eu students €1,951 per year"
11,Mannheim Master in Management (MMM),University of Mannheim,/universities/university-of-mannheim/mannheim-master-in-management-mmm/,academic background in business or economics,,,,"english, german",2 years,2 years,academic background in business or economics,"english, german",,full time,
12,MSc in International Management/CEMS,WU - Vienna University of Economics & Business,/universities/wu-vienna-university-of-economics-business/msc-in-international-management-cems/,academic background in business or economics,,,october,,2 years,2 years,academic background in business or economics,english,,full time,
13,MSc Management,Imperial College Business School,/universities/imperial-college-business-school/msc-management/,no academic background in business or economics required,,entry requirements: uk first or upper second class honours degree (or international equivalent). general business or management degrees may be ineligible.,october,,1 year,1 year,no academic background in business or economics required,english,,full time,
14,MSc in International Management / CEMS MIM,UCD Michael Smurfit Graduate Business School,/universities/ucd-michael-smurfit-graduate-business-school/msc-in-international-management-cems-mim/,academic background in business or economics,31 may,"you are welcome to submit your application for any of our application deadlines. however, the school accepts applications for its programs on a daily basis. once it receives your complete application, ucd michael smurfit aims to get back to you with a decision within a few weeks. the school advises you to apply as early as possible.",september,english,16 months,16 months,academic background in business or economics,english,,full time,"€12,900 eu €14,500 non eu"
15,Master in Management,Edhec Business School,/universities/edhec-business-school/master-in-management-lille-nice/,no academic background in business or economics required,,,,english,2 years,2 years,no academic background in business or economics required,english,,full time,
16,Masters in Management,"Nova School of Business and Economics, FEUNL",/universities/nova-school-of-business-and-economics-feunl/masters-in-management/,no academic background in business or economics required,,,,,,,no academic background in business or economics required,english,,full time,
17,MSc in Management,"City University, Cass",/universities/cass-business-school-city-university/msc-in-management/,no academic background in business or economics required,,,september,,11 months,11 months,no academic background in business or economics required,english,,full time,
18,Master of Science in Management,"University of Lausanne, HEC Lausanne",/universities/hec-lausanne/master-of-science-in-management/,academic background in business or economics,,,september,,2 years,2 years,academic background in business or economics,"english, french",,full time,
