,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name
0,"['Faculty of Science', 'University of Bath']",United Kingdom,http://www.mastersportal.eu/studies/88728/physics-four-years-with-year-abroad.html,,48,months,,,19000,GBP,year,90,Master the mysteries of physics from first principles to advanced problem-solving. You’ll be prepared for a career in industry or academia.,Physics - Four Years with Year Abroad
1,['Oakland University'],United States,http://www.mastersportal.eu/studies/137990/physics.html,msc,24,months,,,23522,USD,year,,"The program leading to the Master of Science in physics degree consists of courses, research, seminar participation, and a final research report. Students receiving the degree will be prepared to work toward the Doctor of Philosophy in physics, to teach at the junior college level, or to work in industry.",Physics
2,"['Department of Mathematical Sciences', 'Durham University']",United Kingdom,http://www.mastersportal.eu/studies/43517/particles-strings-and-cosmology.html,msc,12,months,,,16500,GBP,year,92,"This is a one year advanced taught course. The aim of this course is to bring students in twelve months to the frontier of elementary particle theory. This course is intended for students who have already obtained a good first degree in either physics or mathematics, including in the latter case courses in quantum mechanics and relativity.","Particles, Strings, and Cosmology"
3,"['Saarland University', 'Faculty of Natural Sciences and Technology']",Germany,http://www.mastersportal.eu/studies/45948/physik-international-physics.html,msc,24,months,,,182,EUR,semester,,"The SaarLorLux Master's degree programme in Physics, which is jointly organised and run by Saarland University and the University of Lorraine (Université de Lorraine), is the programme of choice for physics students looking to prepare for an international career. ",Physik International-Physics (international)
4,"['Theoretical Physics and History of Science, Physical Chemistry', 'University of the Basque Country']",Spain,http://www.mastersportal.eu/studies/33195/quantum-science-and-technology.html,msc,12,months,60,,,,,,Quantum Physics lies at the center of Science and Engineering in our new century. This Master's programme squarely recognises this fact by providing a solid foundation in several facets of quantum science and technology. Teaching and mentoring responsibilities are undertaken by University teaching staff and Ikerbasque researchers,Quantum Science and Technology
5,"['Faculty of Bioscience Engineering', 'University of Leuven']",Belgium,http://www.mastersportal.eu/studies/38327/erasmus-mundus-master-of-science-in-nanoscience-and-nanotechnology.html,msc,24,months,120,,8000,EUR,year,94,The Erasmus Mundus programme is a cooperation and mobility programme in the field of higher education that aims to enhance the quality of European higher education in order to promote the European Union as a centre of excellence in learning around the world.,Erasmus Mundus Master of Science in Nanoscience and Nanotechnology
6,['University of Sussex'],United Kingdom,http://www.mastersportal.eu/studies/13539/physics.html,msc,21,months,120,,12700,GBP,year,88,"This degree provides an excellent grounding for entry to doctoral study across Europe. It is fully compatible with European postgraduate degree structures, providing the equivalent of 120 ECTS credits over two years of study.",Physics
7,"['Leiden University', 'Faculty of Natural Sciences, Mathematics and Computer Science']",Netherlands,http://www.mastersportal.eu/studies/40178/physics-research-in-physics-theoretical.html,msc,24,months,120,,19900,EUR,year,90,"The specialisation Research in Theoretical Physics concentrates on subjects like High Energy Physics and Particle Cosmology, Theoretical Physics of Life Processes and Condensed Matter Theory.","Physics: Research in Physics, Theoretical"
8,"['Royal Holloway University of London', 'Department of Physics']",United Kingdom,http://www.mastersportal.eu/studies/14571/physics-by-research.html,msc,12,months,0,,14200,GBP,year,,"This Physics by Research course is offered at the Royal Holloway University of London and it's ideal both for graduates who would like to undertake original research without committing themselves to a three-year PhD, and for students who want to gain a research-based Master's before embarking on their PhD.",Physics By Research
9,['University of Maryland Baltimore County'],United States,http://www.mastersportal.eu/studies/67527/physics.html,msc,,,,,,,,80,"The University of Maryland Baltimore County, Department of Physics at UMBC offers graduate programs leading to the M.S. and Ph.D. in Physics. The programs are structured to provide concentrations in solid-state physics, quantum and non-linear optics, astrophysics and atmospheric physics with many research opportunities in each area.",Physics
10,['Durham University'],United Kingdom,http://www.mastersportal.eu/studies/159777/chemistry-and-physics.html,msc,36,months,,,22000,GBP,year,92,This programme brings together the ever-friendly subjects of chemistry and physics. It also encompasses Joint Honours degrees while also offering you the opportunity of designing your own BSc or MSci programme of study in science.,Chemistry and Physics
11,['Johns Hopkins University'],United States,http://www.mastersportal.eu/studies/73959/applied-physics.html,msc,60,months,,,52170,USD,year,100,The Johns Hopkins Engineering for Professionals Applied Physics program prepares students for exciting careers in the research and development of cutting-edge technology.,Applied Physics
12,['ETH Zurich - Swiss Federal Institute of Technology'],Switzerland,http://www.mastersportal.eu/studies/89773/medizinphysik.html,,24,months,60,,5513,EUR,full,100,"Zu den folgenden Lehrbereichen werden Veranstaltungen angeboten: Anatomie und Physiologie, Strahlenbiologie, Strahlenphysik, Medizinische Optik, Akustik, Biomechanik, Biokompatible Werkstoffe, Bildgebende Verfahren, Molekularbiologie, Biophysik, Neuroinformatik, Methoden der medizinischen Datenverarbeitung.",Medizinphysik
13,"['Queensland University of Technology', 'Science and Engineering Faculty']",Australia,http://www.mastersportal.eu/studies/67377/applied-science.html,,18,months,,,27900,USD,year,,"These courses deal with well-established and emerging areas of medical and health physics including clinical measurement, computing, health physics, instrumentation, medical electronics, medical imaging, physiological monitoring, physics of radiotherapy, radiobiology, and radiological imaging sciences. The coursework also contains an introduction to the clinical sciences.",Applied Science (Medical Physics)
14,['National University of Singapore (NUS)'],Singapore,http://www.mastersportal.eu/studies/68617/civil-engineering.html,msc,24,months,,,,,,,"The Master of Science (Civil Engineering) programme, or M.Sc.(CE), is hosted by the Department of Civil and Environmental Engineering. The programme accepts both full time and part time students.",Civil Engineering
15,['Southern Connecticut State University'],United States,http://www.mastersportal.eu/studies/185221/applied-physics.html,msc,24,months,,,18102,USD,year,72,The Master of Science program in Applied Physics is an interdisciplinary program that offers students the opportunity to complete graduate studies in physics with a particular emphasis on applied research and technology development for industry. ,Applied Physics
16,"['School of Computing, Science & Engineering', 'University of Salford']",United Kingdom,http://www.mastersportal.eu/studies/5517/audio-acoustics.html,msc,12,months,,,13500,GBP,year,,"The generation, manipulation and reproduction of high quality audio are core elements of the rapidly expanding communication, entertainment, music and sound engineering industries. This course is aimed at graduates of numerate science disciplines, who wish to make the transfer into this exciting and growing sector.",Audio Acoustics
17,"['University of Leeds', 'Faculty of Medicine and Health']",United Kingdom,http://www.mastersportal.eu/studies/147096/medical-imaging.html,msc,12,months,,,,,,,"This Medical Imaging MS programme from University of Leeds is designed for recent graduates preparing for a career in medical imaging, professionals already working in the field, and medical students wishing to intercalate.",Medical Imaging
18,"['Leiden University', 'Faculty of Natural Sciences, Mathematics and Computer Science']",Netherlands,http://www.mastersportal.eu/studies/1185/physics.html,msc,24,months,120,,17800,EUR,year,90,The Physics master’s programme offers you a research intensive tailor-made study path on current topics in experimental and theoretical physics at an institute of international renown.,Physics
19,['University of West Georgia'],United States,http://www.mastersportal.eu/studies/154463/teaching-physics.html,ma,,,,,861,USD,credit,,The Master of Arts in Teaching is available for those who would like to add a Georgia Educator Certificate to an existing undergraduate degree. The Teaching Physics program is offered by the University of West Georgia.,Teaching Physics
20,['Ecole Normale Supérieure de Lyon'],France,http://www.mastersportal.eu/studies/149172/physics-chemistry.html,,24,months,,,,,,,"The Master's in Physics & Chemistry offers a first year of non-specialized and personalized training, complemented by local research and with an international orientation.",Physics & Chemistry
