,College Name and Program,Country,CourseURL,Degree,Duration,Duration Unit,ECTS Credits,Experience_In Years,FeeAmount,FeeCurrency,FeeUnit,TOEFL IBT,desc,name,
0,['University of Canberra'],Australia,http://www.mastersportal.eu/studies/137871/executive-master-of-public-administration.html,,18,months,,5,,,,,The Executive Master of Public Administration (EMPA) is designed to assist future leaders develop the management and policy skills needed in today's public sector. The program offers high-potential and aspiring leaders a thorough grounding in the theory and practice of public administration.,Executive Master of Public Administration,
1,"['Department of International and European Studies', 'University of Macedonia']",Greece,http://www.mastersportal.eu/studies/70794/international-public-administration.html,ma,18,months,,,600,EUR,semester,79,"The aim of this course is to provide students, employees in the public and private sector as well as people considering a career change with an education that will prepare them for employment in International Organizations, the Diplomatic Service or in positions where knowledge of the International System and its functions is important.",International Public Administration,
2,"['Pennsylvania State University', 'Graduate School']",United States,http://www.mastersportal.eu/studies/111418/public-administration.html,,24,months,,,,,,80,"The Master of Public Administration (MPA) program is intended for those with career interests in public management, health and human services, government, and other public service and nonprofit organizations.",Public Administration,
3,"['Louisiana State University', 'The Graduate School']",United States,http://www.mastersportal.eu/studies/154624/public-administration-juris-doctor.html,,24,months,,,28500,USD,year,79,The Public Administration / Juris Doctor program is offered by the Louisiana State University.,Public Administration / Juris Doctor,
4,['Portland State University'],United States,http://www.mastersportal.eu/studies/127730/public-administration-health-administration.html,,,,,,605,USD,credit,80,"The vision of the Division of Public Administration’s Programs in Health Management and Policy is to be a leader in health management education and policy and be widely recognized for our contributions to the health community though a dynamic, innovative and rigorous curriculum; commitment to excellence in scholarship; and collaborative, inclusive and inspirational leadership among our graduates.",Public Administration: Health Administration,
5,['Clemson University'],United States,http://www.mastersportal.eu/studies/112763/city-and-regional-planning.html,,12,months,,,9212,USD,semester,100,"The City and Regional Planning Program is offered by the Department of Planning, Development, and Preservation located in the College of Architecture, Arts & Humanities. This professional masters’ degree program was established in 1968 and has been fully accredited since 1973 with more than 550 graduates.",City and Regional Planning,
6,['George Mason University'],United States,http://www.mastersportal.eu/studies/103424/public-administration.html,,,,,,23466,USD,year,,Sound leadership and management are vital to organizational and governmental effectiveness. The George Mason University Master of Public Administration (MPA) program puts you on a path toward a senior-level position in an organization that implements and manages public policies.,Public Administration,
7,['Western Michigan University'],United States,http://www.mastersportal.eu/studies/100546/international-development-administration.html,,20,months,,,15622,USD,year,80,The Master of International Development Administration (M.I.D.A.) program is designed to prepare candidates for careers in international development and to meet the specialized needs of public administrators and program and project managers from the developing countries.,International Development Administration,
8,['Kent State University'],United States,http://www.mastersportal.eu/studies/99644/educational-administration-higher-education.html,,12,months,,,19362,USD,full,,"The Educational Specialist in Educational Administration–Higher Education  provides continuing educational opportunities for practitioners who wish to hold professional leadership positions such as a director of instruction, a special subject/area coordinator, or a director of staff development.",Educational Administration–Higher Education,
9,['Roger Williams University'],United States,http://www.mastersportal.eu/studies/184278/public-administration.html,,,,,,573,USD,credit,85,"The Public Administration program at Roger Williams University prepares students for careers in the education, nonprofit, government, for-profit, private and public sector management or consulting, environmental agencies, healthcare, policy analysis, homeland security and more.",Public Administration,
10,"['The Tseng College', 'California State University Northridge']",United States,http://www.mastersportal.eu/studies/149068/customized-short-programs-for-groups.html,,19,days,,,1217,USD,full,,Tseng college brings extensive experience and expertise to customizing programs for groups from around the world. These programs can last from two weeks to two semesters. These Customized Short Programs for Groups are delivered at California State University Northridge.,Customized Short Programs for Groups,
