,Course Title,Course URL,Price Comment,Tags,University,deadline,duración,duration,durée,début,fecha de inicio,időtartam,kezdet,precio,price,prix,start date,ár
0,Master's Degree In Public Management High,https://www.master-maestrias.com/M%C3%A1ster-Universitario-en-Alta-Direcci%C3%B3n-P%C3%BAblica/Espana/IUIOG-(centro-adscrito-a-la-Universidad-Complutense-de-Madrid)/,,"['Campus or Online', 'Full time', '600\xa0hours', 'May 2018', 'Spain', 'Madrid']",Instituto Universitario de Investigación Ortega y Gasset,,600 horas,,,,mayo 2018,,,"6,600 EUR",,,,
1,"Official Master's Degree In Political And Institutional Communication (master's Degree In Marketing, Consulting And Political Communication - Usc)",https://www.master-maestrias.com/M%C3%A1ster-Universitario-Oficial-en-Comunicaci%C3%B3n-Pol%C3%ADtica-e-Institucional-(M%C3%A1ster-Universitario-en-Marketing-Consultor%C3%ADa-y-Comunicaci%C3%B3n-Pol%C3%ADtica-%E2%80%93-USC)/Espana/IUIOG-(centro-adscrito-a-la-Universidad-Complutense-de-Madrid)/,,"['Campus', 'Full time', '1\xa0year', 'May 2018', 'Spain', 'Madrid']",Instituto Universitario de Investigación Ortega y Gasset,,1 año,,,,mayo 2018,,,"7,000 EUR",,,,
2,"Official University Master's Degree In International Cooperation And Management Of Public Policies, Programs And Projects",https://www.master-maestrias.com/M%C3%A1ster-Universitario-Oficial-en-Cooperaci%C3%B3n-Internacional-y-Gesti%C3%B3n-de-Pol%C3%ADticas-P%C3%BAblicas-Programas-y-Proyectos-de-Desarrollo/Espana/IUIOG-(centro-adscrito-a-la-Universidad-Complutense-de-Madrid)/,,"['Campus', 'Full time', '600\xa0hours', 'May 2018', 'Spain', 'Madrid']",Instituto Universitario de Investigación Ortega y Gasset,,600 horas,,,,mayo 2018,,,"6,600 EUR",,,,
3,Master Program in Economics of Public Policy,https://www.masterstudies.com/Master-Program-in-Economics-of-Public-Policy/Spain/Barcelona-GSE/,,"['Campus', 'Full time', '9\xa0months', 'September 2017', 'Spain', 'Barcelona']",Barcelona Graduate School of Economics,,,9 months,,,,,,,"16,000 EUR",,"Sept. 1, 2017",
4,PUBLIC AND PRIVATE FINANCIAL MANAGEMENT,https://www.masterstudies.com/PUBLIC-AND-PRIVATE-FINANCIAL-MANAGEMENT/Romania/Danubius/,,"['Campus', 'Full time', 'Romania', 'Galați']",Danubius University,,,,,,,,,,,,,
5,MPP in Public Policy,https://www.masterstudies.com/MPP-in-Public-Policy/United-Kingdom/University-of-Stirling/,"Home/EU: £6,200 - Overseas: £14,600","['Campus', 'Full time', 'Part time', 'August 2017', 'United Kingdom', 'Stirling']",University of Stirling,,,,,,,,,,"6,200 GBP",,Aug. 2017,
6,Master Of Public Management And Public Policy Expert,https://www.kulfoldimester.hu/K%C3%B6zgazd%C3%A1lkod%C3%A1s-%C3%A9s-k%C3%B6zpolitika-mesterszak-(in-Hungarian-language)/Magyarorsz%C3%A1g/Budapesti-Corvinus-Egyetem/,/félév,"['Campus', 'Full time', '4\xa0semesters', 'September 2017', 'Hungary', 'Budapest']","Corvinus University of Budapest, Faculty of Economics",Kérj Információt,,,,,,4 félév,szept. 2017,,,,,-
7,Master in Political Science: Policy and Politics,https://www.masterstudies.com/Master-in-Political-Science-Policy-and-Politics/Netherlands/VU-Amsterdam/,for EEA students; €13.400 for Non-EEA,"['Campus', 'Full time', '1\xa0year', 'September 2018', 'Netherlands', 'Amsterdam']",Vrije Universiteit Amsterdam,,,1 year,,,,,,,"1,984 EUR",,Sept. 2018,
8,Master of International Public Policy (MIPP),https://www.masterstudies.com/Master-of-International-Public-Policy-(MIPP)/Italy/The-Johns-Hopkins-University-School-of-Advanced-International-Studies-%E2%80%93-SAIS-Europe/,"(Washington, DC Campus)","['Campus', 'Full time', '1\xa0year', 'September 2017', 'Italy', 'Bologna']",The Johns Hopkins University School of Advanced International Studies – SAIS Europe,,,1 year,,,,,,,"45,142 USD",,Sept. 2017,
9,Official Master's Degree - Social Policies And Community Action,https://www.master-maestrias.com/M%C3%A1ster-Oficial-Pol%C3%ADticas-Sociales-y-Acci%C3%B3n-Comunitaria/Espana/Universidad-Aut%C3%B3noma-de-Barcelona/,Alumnos UE / nacionales: 70€ / crédito Alumnos extracomunitarios: 95€ / crédito Incluye tasas y seguro escolar.,"['Campus', 'Full time', '1\xa0year', 'October 2017', 'Spain', 'Barcelona']",Universidad Autónoma de Barcelona,,1 año,,,,"oct. 16, 2017",,,-,,,,
10,"Master's Degree In Urban Management, Appraisals And Judicial Expertise",https://www.master-maestrias.com/M%C3%A1ster-en-Gesti%C3%B3n-Urban%C3%ADstica-Valoraciones-y-Pericia-Judicial/Espana/laSalle-Barcelona-Posgraduate/,,"['Campus', 'Full time', 'September 2017', 'Spain', 'Barcelona']",laSalle Barcelona Postgraduate,,,,,,sept. 2017,,,,,,,
11,Master in Public and Social Policy (PSP),https://www.masterstudies.com/Master-in-Public-and-Social-Policy-(PSP)/Czech-Republic/FSV-UK/,price per year,"['Campus', 'Full time', '2\xa0years', 'October 2017', 'Czech Republic', 'Prague']","Faculty of Social Sciences, Charles University (FSV UK)",,,2 years,,,,,,,"6,000 EUR",,Oct. 2017,
12,PUBLIC AND PRIVATE AUDIT AND CONTROL,https://www.masterstudies.com/PUBLIC-AND-PRIVATE-AUDIT-AND-CONTROL/Romania/Danubius/,,"['Campus', 'Full time', '2\xa0years', 'Romania', 'Galați']",Danubius University,,,2 years,,,,,,,,,,
13,Master in Public Policy and Human Resources,https://www.masterstudies.com/Master-in-Public-Policy-and-Human-Resources/Czech-Republic/MUFSS/,per year.,"['Campus', 'Full time', '2\xa0years', 'September 2017', 'Czech Republic', 'Brno']",Masaryk University Faculty of Social Studies,,,2 years,,,,,,,"3,000 EUR",,Sept. 2017,
