,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
0,100,92.9,98.8,95.1,"1,679",Massachusetts Institute of Technology (MIT) ,"3,717",97.4,83%,17%,60%,40%,1,"2,982","11,067",https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1,93.6,98.6,98,100,"1,311",Harvard University,"5,266",96.8,85%,15%,69%,31%,2,"4,350","22,429",https://www.topuniversities.com/universities/harvard-university
2,88.6,91.3,95.7,93,"2,042",Stanford University,"3,611",91.4,83%,17%,56%,44%,3,"4,285","15,878",https://www.topuniversities.com/universities/stanford-university
3,92,81,98.1,89.8,246,Princeton University,"1,793",90.6,65%,35%,34%,66%,=4,"1,007","8,069",https://www.topuniversities.com/universities/princeton-university
4,88.2,84.1,97.9,94.4,"1,395","University of California, Berkeley (UCB)","6,086",90.6,39%,61%,27%,73%,=4,"3,321","36,703",https://www.topuniversities.com/universities/university-california-berkeley-ucb
5,88.5,80.1,100,95.9,635,University of Chicago,"3,379",90.6,76%,24%,57%,43%,=4,"2,449","13,557",https://www.topuniversities.com/universities/university-chicago
6,89.1,93.7,91.1,88,687,London School of Economics and Political Science (LSE),"6,748",90.2,66%,34%,53%,47%,7,"1,088","9,760",https://www.topuniversities.com/universities/london-school-economics-political-science-lse
7,86.7,100,87.9,86.7,"2,964",University of Oxford,"7,353",89.6,74%,26%,44%,56%,8,"6,750","19,720",https://www.topuniversities.com/universities/university-oxford
8,86.3,86.1,95.7,90.6,"1,708",Yale University,"2,469",89,76%,24%,56%,44%,9,"4,940","12,402",https://www.topuniversities.com/universities/yale-university
9,85.3,99.7,88.2,84.2,"2,278",University of Cambridge,"6,699",88.5,64%,36%,37%,63%,10,"5,490","18,770",https://www.topuniversities.com/universities/university-cambridge
10,82.7,84.2,93.5,92.7,913,Columbia University,"8,105",87.2,85%,15%,69%,31%,11,"6,189","25,045",https://www.topuniversities.com/universities/columbia-university
11,81.5,82.7,94,87.3,662,"University of California, Los Angeles (UCLA)","6,887",85.4,44%,56%,29%,71%,=12,"2,859","40,114",https://www.topuniversities.com/universities/university-california-los-angeles-ucla
