1st year fee in inr,1st year fee in pounds,application assessment fee inr ,application assessment fee pound ,application fee inr ,application fee pound ,bachelors,books cost inr,books cost pound,bus pass inr ,bus pass pound ,capstone project fee inr ,capstone project fee pound ,class 12th,college fee inr ,college fee pound ,college membership fee inr ,college membership fee pound ,collegename,course costs inr ,course costs pound ,course related costs inr ,course related costs pound ,coursename,deposit fee inr ,deposit fee pound ,duration,examination fee inr ,examination fee pound ,first year cost,general expenses inr ,general expenses pound ,gmat,gmat recommendation,gre,gre recommendation,health cost inr ,health cost pound ,hostel & meals inr ,hostel & meals pound ,housing deposit inr ,housing deposit pound ,ielts,ielts recommendation,insurance inr ,insurance pound ,level,living costs inr,living costs pound,location,misc costs inr,miscellaneous expense pound ,miscellaneous expenses pound ,miscellaneous pound ,mobile expense inr ,mobile expense pound ,nhs health surcharge inr ,nhs health surcharge pound ,orientation fees inr ,orientation fees pound ,other expenses inr ,other expenses pound ,payment administration inr ,payment administration pound ,personal expenses inr,personal expenses pound,placement companies,pte,pte recommendation,rank,residence booking fee inr ,residence booking fee pound ,schol link,schol text,security deposit inr ,security deposit pound ,shikshacourseurl,shishkacollegeurl,social and sporting activities inr ,social and sporting activities pound ,study costs inr ,study costs pound ,toefl recommendation,total inr ,total pound ,transportation inr ,transportation pound ,tuition deposit inr ,tuition deposit pound ,tuition fee deposit inr ,tuition fee deposit pound ,work experience
"39,31,498","47,050",,,,,3.50 GPA,,,,,,,No specific cutoff mentioned,"2,63,214","3,150",,,University of Oxford,,,,,MBA,,,1 Years,,,Rs 45.7 Lakhs,,,Accepted,Candidates are recommended to apply with a GMAT score of 650 or above,Accepted,Recommended score for Sub-sections Verbal score of 160 and Quantitative score of 161,,,"3,63,068","4,345",,,7.5,Minimum required on each component 7,,,Masters Program,,,"Oxford, UK","22,143",,,265,,,,,,,,,,,,,"['Accenture', 'Amazon', 'BCG', 'Citigroup', 'Deutsche Bank', 'Deloitte', 'HSBC', 'IBM', 'Osmosys', 'Johnson Johnson', 'KPMG', 'McKinsey', 'Nomura', 'Pepsi', 'PricewaterhouseCoopers', 'Novartis', 'RBS (Royal Bank of Scotland)', 'TATA Communications', 'Time', 'Vodafone']",,,1,,,http://www.ox.ac.uk/admissions/postgraduate_courses/international_students/india/indiascholarships.html,"['', 'Commonwealth Scholarship and Fellowship Plan (CSFP) - CSFP is one of the largest and most prestigious scholarships schemes for international study in the world\n', 'Chevening Scholarships are the UK government’s global scholarship programme, funded by the Foreign & Commonwealth Office (FCO) and partner organizations\n', 'Oxford-Indira Gandhi Graduate Scholarships - Oxford Graduate Scholarships enable the creation of fully-funded scholarships for graduate students of the highest calibre from across the world']",,,https://studyabroad.shiksha.com/uk/universities/university-of-oxford/mba,https://studyabroad.shiksha.com/uk/universities/university-of-oxford?refCourseId=195904,,,"34,928",418,,"Rs. 6,83,354","Pound 8,178",,,,,,,2years
"Rs. 39,44,032","Pound 47,200",,,,,No specific cutoff mentioned,,,,,,,No specific cutoff mentioned,,,,,London Business School,,,,,MBA,,,15-21 Months,,,Rs 39.1 Lakhs,,,Accepted,,,,,,,,,,Accepted,,,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,,,"['Barclays Capital', 'KPMG', 'HSBC', 'Google', 'McKinsey', 'Deloitte']",Accepted,,2,,,,,,,https://studyabroad.shiksha.com/uk/universities/london-business-school/mba,https://studyabroad.shiksha.com/uk/universities/london-business-school?refCourseId=200655,,,,,,,,,,,,,,2years
"42,61,560","51,000",,,,,80%,"41,780",500,,,,,No specific cutoff mentioned,,,,,University of Cambridge,,,,,Master of Business Administration,,,1 Years,,,Rs 48.4 Lakhs,,,Accepted,,Accepted,,,,"5,84,920","7,000",,,7.5,With no element below 7.0,,,Masters Program,,,"Cambridge, UK",,,,,,,,,,,,,,,,,,,,3,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-cambridge/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/university-of-cambridge?refCourseId=199361,,,,,,"Rs. 6,26,700","Pound 7,500",,,,,,,3years
"24,18,561","28,944","5,431",65,,,65%,"33,424",400,,,,,No specific cutoff mentioned,,,,,London School of Economics and Political Science,,,,,MSc in Management,,,1 Years,,,Rs 30.7 Lakhs,,,Accepted,,Accepted,,,,"4,45,876","5,336",,,7,With 6.5 in Reading and Listening and 6.0 in Speaking and Writing,,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,"1,33,696","1,600","['Accenture', 'Barclays Capital', 'Deloitte', 'Coca-Cola', 'Osmosys', 'Google', 'Mercer', 'Morgan Stanley']",65,With 58 in Reading and Listening and 51 in Speaking and Writing,4,,,http://www.lse.ac.uk/intranet/students/moneyMatters/financialSupport/ScholarshipsLSE/MScApp/awards/OverseasMSc/OverseasMScD-K.aspx#DynamicJumpMenuManager_1_Anchor_13,"['LSE offers Charles Wallace India Trust, De Souza Trust Goa Scholarship, Inlaks Foundation, J N Tata Endowment Scholarships, Lady Meherbai Tata Education Trust and other scholarships to Indian students.\nLSE is delighted to announce that it is making available up to 40 scholarships to students from India studying a Master’s programme at the School starting in 2014. \nAssessment for an award will be made on the basis of financial need.']",,,https://studyabroad.shiksha.com/uk/universities/london-school-of-economics-and-political-science/masters-in-management,https://studyabroad.shiksha.com/uk/universities/london-school-of-economics-and-political-science?refCourseId=200542,,,,,,"Rs. 6,85,276","Pound 8,201","66,848",800,,,,,No work experience mentioned
"29,78,914","35,650",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of Warwick,,,,,Master of Business Administration,,,1 Years,,,Rs 33.1 Lakhs,,,650,,Accepted,Score equivalent to GMAT admissions requirement,,,"3,60,979","4,320",,,7,"All four language components have to be scored 6.0+, with maximum of two components at lowest level 6.0 or 6.5",,,Masters Program,,,"Coventry, UK",,,,,,,,,,,,,,,,,,70,With more than 51 in every section,5,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-warwick/master-of-business-administration,https://studyabroad.shiksha.com/uk/universities/university-of-warwick?refCourseId=199335,,,,,,"Rs. 3,60,979","Pound 4,320",,,,,,,3years
"20,38,864","24,400",,,,,65%,"65,177",780,,,,,No specific cutoff mentioned,,,,,University College London,,,,,MSc Management,,,1 Years,,,Rs 28.0 Lakhs,,,Accepted,,Accepted,,,,"4,67,435","5,594",,,7,Minimum of 6.5 in each of the subtests,"7,186",86,Masters Program,,,"London, UK",,,,,,,,,,,,,,,"2,47,672","2,964","['ACCENTURE', 'Barclays Bank', 'Deloitte', 'Deutsche Bank', 'Nestle', 'Procter Gamble']",69,Minimum of 59 in each Communicative Skill,6,,,https://www.msi.ucl.ac.uk/msc-management,"['The Department of Management Science and Innovation offers scholarships of £10,000 for students on the MSc in Management and a scholarship funded by Remedica Ltd,']",,,https://studyabroad.shiksha.com/uk/universities/university-college-london/msc-management,https://studyabroad.shiksha.com/uk/universities/university-college-london?refCourseId=212715,,,,,,"Rs. 7,87,469","Pound 9,424",,,,,,,
"17,88,184","21,400",,,,,60%,"33,424",400,,,,,No specific cutoff mentioned,,,,,University of Bristol,,,,,MSc Management,"83,560","1,000",1 Years,,,Rs 22.9 Lakhs,,,,,,,,,"4,09,444","4,900",,,6.5,Minimum of 6.5 in all the bands,,,Masters Program,,,"Bristol, UK",,,,,,,,,,,,,,,,,,62,Minimum of 60 in any band and 62 in writing,7,,,,,,,https://studyabroad.shiksha.com/uk/universities/university-of-bristol/msc-management,https://studyabroad.shiksha.com/uk/universities/university-of-bristol?refCourseId=199824,,,,,,"Rs. 5,26,428","Pound 6,300",,,,,,,
"27,57,480","33,000",,,,,60%,,,,,,,No specific cutoff mentioned,,,,,University of Bath,,,,,Full-time MBA,,,1 Years,,,Rs 34.4 Lakhs,,,600,"GMAT 600+ will be required for candidates with fewer than 4 years relevant, post-graduate, management experience",,,"17,130",205,"4,92,837","5,898",,,7,With at least 6.5 in each of the four components,,,Masters Program,,,"Bath, UK",,,,,,,,,,,,,,,"1,49,907","1,794",,69,With no less than 62 in any band,8,,,http://www.bath.ac.uk/management/courses/mba/scholarship.html,['International students are provided scholarships from University of Bath.'],,,https://studyabroad.shiksha.com/uk/universities/university-of-bath/mba,https://studyabroad.shiksha.com/uk/universities/university-of-bath?refCourseId=200668,,,,,,"Rs. 7,19,869","Pound 8,615","59,996",718,,,,,3years
"24,23,240","29,000",,,,,No specific cutoff mentioned,"33,424",400,,,,,No specific cutoff mentioned,,,,,Lancaster University,,,,,Full-time MBA,,,12 Months,,,Rs 28.7 Lakhs,,,,,,,,,"3,33,404","3,990",,,7,No band less than 6.0,,,Masters Program,,,"Lancaster, UK","80,218",,,960,,,,,,,,,,,,,,62,,9,,,,,,,https://studyabroad.shiksha.com/uk/universities/lancaster-university/full-time-mba,https://studyabroad.shiksha.com/uk/universities/lancaster-university?refCourseId=200939,,,,,,"Rs. 4,70,443","Pound 5,630","23,397",280,,,,,3years
"34,25,960","41,000",,,,,60%,"33,424",400,,,,,No specific cutoff mentioned,,,,,City University London,,,,,Full-Time MBA,,,12 Months,,,Rs 42.4 Lakhs,,,600,,Accepted,,,,"6,82,100","8,163",,,7,,,,Masters Program,,,"London, UK",,,,,,,,,,,,,,,"66,848",800,,,,10,,,http://www.city.ac.uk/study/undergraduate/funding-and-financial-support/international-students,['Scholarships available for the international students are:\nAssociation of Commonwealth Universities (ACU)\nCommonwealth Scholarships & Fellowships Plan\nDaiwa Foundation Tohoku Scholarships'],,,https://studyabroad.shiksha.com/uk/universities/city-university-london/full-time-mba,https://studyabroad.shiksha.com/uk/universities/city-university-london?refCourseId=210533,,,,,,"Rs. 8,59,247","Pound 10,283","76,875",920,,,,,3years
