,1st Year Fee in Euro,1st Year Total Fee,1st year Fee in INR,Accomodation Offered,Bachelors,Class 12th,CourseName,Duration,GRE,IELTS,Level,PTE,Private/Public,Schol Link,Schol Text,Scholarship Offered,TOEFL,URL,Work experience,additional cost Euro ,additional cost INR ,application fee Euro ,application fee INR ,application fees Euro ,application fees INR ,books & supplies Euro ,books & supplies INR ,books / supplies Euro ,books / supplies INR ,books Euro ,books INR ,books and supplies Euro ,books and supplies INR ,compulsory accommodation fees Euro ,compulsory accommodation fees INR ,enrollment fee Euro ,enrollment fee INR ,facility fee Euro ,facility fee INR ,fees Euro ,fees INR ,food Euro ,food INR ,general fee Euro ,general fee INR ,gmat recommendation,grad student society Euro ,grad student society INR ,gre recommendation,gss dental plan Euro ,gss dental plan INR ,gss extended health Euro ,gss extended health INR ,health service fee Euro ,health service fee INR ,hostel & meals Euro ,hostel & meals INR ,ielts recommendation,insurance Euro ,insurance INR ,international orientation fee Euro ,international orientation fee INR ,international student service fee Euro ,international student service fee INR ,living cost Euro ,living cost INR ,miscellaneous expense Euro ,miscellaneous expense INR ,miscellaneous personal expenses Euro ,miscellaneous personal expenses INR ,other expenses Euro ,other expenses INR ,personal expenses Euro ,personal expenses INR ,pte recommendation,registration fee Euro ,registration fee INR ,semester fee Euro ,semester fee INR ,semester fees Euro ,semester fees INR ,social contribution Euro ,social contribution INR ,sport and recreation fee Euro ,sport and recreation fee INR ,student activities fee Euro ,student activities fee INR ,student government Euro ,student government INR ,student service fee Euro ,student service fee INR ,student services and amenities fee Euro ,student services and amenities fee INR ,student services fee Euro ,student services fee INR ,student union fee Euro ,student union fee INR ,technology fee Euro ,technology fee INR ,toefl recommendation,total Euro ,total INR ,transportation Euro ,transportation INR ,transportation pass Euro ,transportation pass INR ,uvic athletics Euro ,uvic athletics INR 
0,"46,900",Rs 30.6 Lakhs,"22,16,494",Yes,No specific cutoff mentioned,No specific cutoff mentioned,Master in Public Policy (MPP),2 Years,Accepted,7,Masters Program,,Public,http://lkyspp.nus.edu.sg/admissions/graduate-programmes/master-in-public-policy-mpp/mpp-financial-aid/,"['University provides scholarship to all students and covers: Full tuition fee, Accommodation on campus, One-time book & settling in allowance, Health insurance, Air fare from home country to Singapore and return and Monthly stipend to cover living expenses in Singapore']",Yes,100,https://studyabroad.shiksha.com/singapore/universities/lee-kuan-yew-school-of-public-policy-national-university-of-singapore/master-in-public-policy,,"4,000","1,89,040",,,,,,,900,"42,534",,,,,,,,,,,,,,,,,"Not required, but recommended to submit",,,"Not required, but recommended to submit",,,,,140,"6,616","8,056","3,80,727",,,,,,,,,,,,"1,750","82,705",,,,,,,,,,,,,,,,,,,,319,"15,076",,,,,,,,,,"SGD 17,915","Rs. 8,46,663","2,750","1,29,965",,,,
1,"14,800",Rs 14.8 Lakhs,"12,41,276",Yes,60%,No specific cutoff mentioned,MA International Relations,1 Years,,6.5,Masters Program,62,Public,http://www.uea.ac.uk/political-social-international-studies/scholarships-and-funding/postgraduate-students?_ga=1.9071478.21657818.1475639395,"['', 'GREAT Scholarships: GREAT Scholarships offers 6 awards of £7500 to postgraduate offer holders\n', 'School Scholarships: £1,000 scholarships will be available for International students who are beginning their course in September 2016. These scholarships will be awarded on academic merit by achieving IELTS (or equivalent) 7.5 overall with at least 6 in each component, and the overall strength of their application']",Yes,,https://studyabroad.shiksha.com/uk/universities/university-of-east-anglia/ma-international-relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,625","2,20,159",With minimum 6.0 in all components,,,,,,,,,,,,,,,,,With minimum 55 in all components,,,,,,,,,,,,,,,,,,,,,,,,,,"Pound 2,850","Rs. 2,39,030",225,"18,871",,,,
2,"16,470",Rs 16.2 Lakhs,"10,60,997",Yes,3.00 GPA,No specific cutoff mentioned,MA Communication Arts,2 Years,300,6.5,Masters Program,,Private,,,No,83,https://studyabroad.shiksha.com/usa/universities/university-of-the-incarnate-word/ma-communication-arts,,,,,,,,,,,,"1,200","77,304",,,,,,,,,"3,252","2,09,494",,,,,,,,GRE requirement may be waived for stronger applicants that have baccalaureate degree with a GPA of 3.5 or higher,,,,,,,,,,"1,245","80,203",,,,,,,"2,940","1,89,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USD 8,637","Rs. 5,56,396",,,,,,
3,"3,000",Rs 4.8 Lakhs,"2,25,030",Yes,No specific cutoff mentioned,No specific cutoff mentioned,Masters of Journalism and Social Communication,2 Years,,6,Masters Program,,Public,,,No,79,https://studyabroad.shiksha.com/poland/universities/university-of-wroclaw/masters-of-journalism-and-social-communication,,,,,,,,,,,,,,,,,,,,,,,,"1,225","91,887",,,,,,,,,,,,,"1,250","93,763",,,,,,,,,,,,,,650,"48,757",,,,50,"3,751",,,,,,,,,,,,,,,,,,,,,,,With a range of 60-79,"Euro 3,345","Rs. 2,50,908",170,"12,752",,,,
4,"32,500",Rs 11.2 Lakhs,"5,70,050",Yes,2.00 GPA,No specific cutoff mentioned,MA Interior Design,2 Years,,Accepted,Masters Program,,Private,,,No,,https://studyabroad.shiksha.com/uae/universities/manipal-university-dubai-campus/ma-interior-design,No work experience mentioned,,,100,"1,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000","5,26,200",Not Mandatory,,,,,,,,,,,,,,,,,,"1,500","26,310",,,,,,,,,,,,,,,,,,,,,,,,"AED 31,600","Rs. 5,54,264",,,,,,
5,"12,000",Rs 9.6 Lakhs,"9,00,120",No,No specific cutoff mentioned,No specific cutoff mentioned,MA in Media and Communication Management,1.5 Years,,6,Masters Program,,Private,http://www.mhmk-international.org/studienberatung/stipendien.html,"['', 'Merit based and Need based scholarships: Amount can be between 10% and 40% of the tuition fee. For merit based Scholarship students need to submit proof of outstanding academic performance at UG Level and In case of Need based scholarschip applicants need to submit written summary on the financial situation and background or other documents such as proof on need based state support, salary of applicant and/or parents etc and in addition to the both cases Motivational statement is also required']",Yes,72,https://studyabroad.shiksha.com/germany/universities/macromedia-university-of-applied-sciences/ma-in-media-and-communication-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,"56,258",,,,,,,,,,,,,,,,,,,,,,,,Euro 750,"Rs. 56,258",,,,,,
6,"14,364",Rs 11.7 Lakhs,"9,25,329",Yes,2.90 GPA,No specific cutoff mentioned,Master in Teaching English to Speakers of Other Language,1 Years,Accepted,6,Masters Program,,Private,,,No,79,https://studyabroad.shiksha.com/usa/universities/campbellsville-university/master-in-teaching-english-to-speakers-of-other-language,,,,,,,,,,,,,,"2,000","1,28,840",,,,,,,,,,,,,,,,,,,,,,,,,,"1,450","93,409",,,,,,,,,,,,,,,,,,,,,,,,,,200,"12,884",,,,,,,,,,,150,"9,663",,"USD 3,800","Rs. 2,44,796",,,,,,
7,"Pound 10,950",Rs 9.2 Lakhs,"Rs. 9,18,377",Yes,55%,No specific cutoff mentioned,MA Multimedia Journalism,12 Months,,6,Masters Program,52,Public,http://www.tees.ac.uk//sections/international/international_scholarships_criteria.cfm,"['', 'Teesside University offers a wide range of scholarships to International students\n ', 'Scholarship of £1000 or £1500 is provided\n', ""University provides different scholarships for different eligibility criteria's""]",No,,https://studyabroad.shiksha.com/uk/universities/teesside-university/ma-multimedia-journalism,No work experience mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"13,000",Rs 15.8 Lakhs,"10,90,310",Yes,55%,No specific cutoff mentioned,MSc Global Governance,1 Years,,6.5,Masters Program,,Public,http://international.southwales.ac.uk/fees-and-scholarships/international-scholarships/,['The University of South Wales offers International Scholarships for International Students'],Yes,,https://studyabroad.shiksha.com/uk/universities/university-of-south-wales/msc-global-governance,No work experience mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,682","3,08,809","Minimum 5.5 in each band
Proficiency in the English language is exempted if applicants have HSC (12th standard) English at 65% or above",,,,,,,,,,,,,,,"2,100","1,76,127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pound 5,782","Rs. 4,84,936",,,,,,
9,"27,872",Rs 20.8 Lakhs,"17,95,514",Yes,No specific cutoff mentioned,No specific cutoff mentioned,Master of Public Administration (MPA),1.5-2 Years,Accepted,7,Masters Program,,Public,,,No,80,https://studyabroad.shiksha.com/usa/universities/bowling-green-state-university/master-of-public-administration-mpa,,,,,,,,,,,,,,,,,,,,120,"7,730",,,,,"1,474","94,955",,,,,,,,,,,,,,"2,207","1,42,175",200,"12,884",100,"6,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,"20,099",,"USD 4,413","Rs. 2,84,285",,,,,,
