,Academic Reputation,Country,Employer Reputation,International Faculty,Name,Number of Internal Students,Overall Score,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Rank,Total Academic Faculty,Total Number of Students,URL
0,90.1,United States,94.8,"1,679",Massachusetts Institute of Technology (MIT) ,"3,717",94,83%,17%,60%,40%,1,"2,982","11,067",https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1,87.6,United States,99.4,"2,042",Stanford University,"3,611",93.6,83%,17%,56%,44%,2,"4,285","15,878",https://www.topuniversities.com/universities/stanford-university
2,100,United States,93.2,425,Carnegie Mellon University,"6,385",91.9,71%,29%,51%,49%,3,"1,342","13,356",https://www.topuniversities.com/universities/carnegie-mellon-university
3,85.4,United States,98,"1,395","University of California, Berkeley (UCB)","6,086",89.9,39%,61%,27%,73%,4,"3,321","36,703",https://www.topuniversities.com/universities/university-california-berkeley-ucb
4,82.8,United Kingdom,90.7,"2,278",University of Cambridge,"6,699",88.9,64%,36%,37%,63%,5,"5,490","18,770",https://www.topuniversities.com/universities/university-cambridge
5,79.4,United States,95.2,"1,311",Harvard University,"5,266",88.4,85%,15%,69%,31%,6,"4,350","22,429",https://www.topuniversities.com/universities/harvard-university
6,80.6,United Kingdom,91.3,"2,964",University of Oxford,"7,353",87.8,74%,26%,44%,56%,7,"6,750","19,720",https://www.topuniversities.com/universities/university-oxford
7,80.5,United States,100,246,Princeton University,"1,793",85.6,65%,35%,34%,66%,8,"1,007","8,069",https://www.topuniversities.com/universities/princeton-university
8,79.9,Switzerland,94,"1,886",ETH Zurich - Swiss Federal Institute of Technology,"7,563",85.4,72%,28%,53%,47%,9,"2,477","19,815",https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
9,76.7,Singapore,89.6,"3,086",National University of Singapore (NUS),"8,917",84.2,48%,52%,18%,82%,=10,"5,106","32,728",https://www.topuniversities.com/universities/national-university-singapore-nus
10,79.3,Canada,94.3,"3,905",University of Toronto,"21,910",84.2,21%,79%,22%,78%,=10,"9,581","72,207",https://www.topuniversities.com/universities/university-toronto
11,78,United Kingdom,90.7,"2,071",Imperial College London,"8,746",83.7,53%,47%,43%,57%,12,"3,930","16,090",https://www.topuniversities.com/universities/imperial-college-london
12,76.7,United States,92.5,662,"University of California, Los Angeles (UCLA)","6,887",83.1,44%,56%,29%,71%,13,"2,859","40,114",https://www.topuniversities.com/universities/university-california-los-angeles-ucla
13,73.4,Australia,93.7,"1,477",The University of Melbourne,"18,030",82.3,54%,46%,47%,53%,14,"3,311","42,182",https://www.topuniversities.com/universities/university-melbourne
14,67.8,China,85.2,932,Tsinghua University,"4,072",82.2,49%,51%,59%,41%,15,"5,506","36,300",https://www.topuniversities.com/universities/tsinghua-university
15,73.8,China,83.3,"1,038",Peking University,"7,090",81.8,48%,52%,61%,39%,=16,"5,185","42,136",https://www.topuniversities.com/universities/peking-university
16,81.9,United States,98.3,550,University of Washington,"8,373",81.8,37%,63%,32%,68%,=16,"2,484","56,973",https://www.topuniversities.com/universities/university-washington
17,77.6,Japan,78.1,254,The University of Tokyo,"2,639",81.7,89%,11%,49%,51%,18,"4,514","27,279",https://www.topuniversities.com/universities/university-tokyo
18,72.4,"Hong Kong S.A.R., China",93.1,835,The Hong Kong University of Science and Technology,"2,921",81.4,48%,52%,15%,85%,19,"1,150","10,375",https://www.topuniversities.com/universities/hong-kong-university-science-technology
19,72.1,Singapore,93,"2,993","Nanyang Technological University, Singapore (NTU)","7,251",81.3,46%,54%,18%,82%,20,"4,338","25,738",https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu
20,76.5,United States,96.7,970,Cornell University,"5,411",81.1,61%,39%,35%,65%,=21,"2,718","21,904",https://www.topuniversities.com/universities/cornell-university
21,82.2,United Kingdom,90,"1,553",The University of Edinburgh,"10,551",81.1,48%,52%,28%,72%,=21,"4,075","28,040",https://www.topuniversities.com/universities/university-edinburgh
