,CollegeName,Country,International Faculty,Number of Internal Students,Percent International PostGrad,Percent International UnderGrad,Percent Post Grad Students,Percent Undergraduate Students,Ranking,Total Academic Faculty,Total Number of Students,URL
0,Singapore Management University,Singapore,372,"1,796",45%,55%,13%,87%,#441-450 QS World University Rankings® 2014/15,603,"8,637",https://www.topuniversities.com/node/297648
1,Griffith University,Australia,809,"6,004",33%,67%,15%,85%,#=325 QS World University Rankings 2018,"1,882","31,772",https://www.topuniversities.com/node/294295
2,Universitat de Barcelona,Spain,108,"6,134",39%,61%,18%,82%,#156 QS World University Rankings 2018,"3,863","46,002",https://www.topuniversities.com/node/294613
3,Vrije Universiteit Amsterdam,Netherlands,331,"1,805",75%,25%,42%,58%,#218 QS World University Rankings 2018,"2,095","23,278",https://www.topuniversities.com/node/297203
4,University of St.Gallen (HSG),Switzerland,239,"2,749",60%,40%,47%,53%,#372 QS World University Rankings 2018,446,"8,232",https://www.topuniversities.com/node/297284
5,Utrecht University,Netherlands,653,"2,771",70%,30%,39%,61%,#=109 QS World University Rankings 2018,"3,067","31,754",https://www.topuniversities.com/node/297215
6,Oregon State University,United States,447,"2,885",44%,56%,16%,84%,#441-450 QS World University Rankings 2018,"2,052","24,254",https://www.topuniversities.com/node/297522
7,Northeastern University,United States,409,"6,813",55%,45%,32%,68%,#=346 QS World University Rankings 2018,"1,544","19,976",https://www.topuniversities.com/node/294773
8,RUDN University,Russia,50,"5,628",57%,43%,48%,52%,#501-550 QS World University Rankings 2018,"2,639","21,526",https://www.topuniversities.com/node/296468
9,The University of Edinburgh,United Kingdom,"1,553","10,551",48%,52%,28%,72%,#=23 QS World University Rankings 2018,"4,075","28,040",https://www.topuniversities.com/node/294478
10,University of Tasmania,Australia,341,"2,834",55%,45%,22%,78%,#313 QS World University Rankings 2018,796,"9,024",https://www.topuniversities.com/node/297268
11,Universitat Autònoma de Barcelona,Spain,230,"3,848",69%,31%,25%,75%,#=195 QS World University Rankings 2018,"2,187","31,986",https://www.topuniversities.com/node/294612
12,University of Waikato,New Zealand,234,"2,358",30%,70%,18%,82%,#292 QS World University Rankings 2018,565,"9,474",https://www.topuniversities.com/node/297201
13,University of Stirling,United Kingdom,170,"1,764",44%,56%,18%,82%,#451-460 QS World University Rankings 2018,660,"8,805",https://www.topuniversities.com/node/297280
14,Auckland University of Technology (AUT),New Zealand,512,"7,736",26%,74%,19%,81%,#441-450 QS World University Rankings 2018,"1,134","18,160",https://www.topuniversities.com/node/297138
15,The University of Manchester,United Kingdom,"1,653","13,514",44%,56%,27%,73%,#34 QS World University Rankings 2018,"4,910","36,670",https://www.topuniversities.com/node/294871
16,Ludwig-Maximilians-Universität München,Germany,674,"5,084",44%,56%,36%,64%,#66 QS World University Rankings 2018,"3,274","35,055",https://www.topuniversities.com/node/294840
17,Tomsk State University,Russia,180,"1,754",32%,68%,36%,64%,#=323 QS World University Rankings 2018,"1,674","8,022",https://www.topuniversities.com/node/297245
18,"The University of Newcastle, Australia (UON)",Australia,499,"3,032",58%,42%,9%,91%,#=224 QS World University Rankings 2018,"1,058","13,012",https://www.topuniversities.com/node/294784
19,The University of Warwick,United Kingdom,890,"7,703",49%,51%,31%,69%,#57 QS World University Rankings 2018,"2,093","19,855",https://www.topuniversities.com/node/297197
20,The University of New South Wales (UNSW Sydney),Australia,"1,612","14,292",51%,49%,28%,72%,#45 QS World University Rankings 2018,"2,924","39,784",https://www.topuniversities.com/node/294788
21,University of Twente,Netherlands,299,"2,235",48%,52%,43%,57%,#=179 QS World University Rankings 2018,910,"9,332",https://www.topuniversities.com/node/297226
22,UCL (University College London),United Kingdom,"2,554","14,854",55%,45%,48%,52%,#7 QS World University Rankings 2018,"6,345","31,080",https://www.topuniversities.com/node/294014
23,Massey University,New Zealand,516,"4,801",41%,59%,27%,73%,#=316 QS World University Rankings 2018,"1,275","17,263",https://www.topuniversities.com/node/294865
24,Queensland University of Technology (QUT),Australia,722,"5,267",43%,57%,14%,86%,#=247 QS World University Rankings 2018,"1,755","33,929",https://www.topuniversities.com/node/297459
25,Russian Presidential Academy of National Economy and Public Administration,Russia,66,894,38%,62%,23%,77%,,"4,659","42,220",https://www.topuniversities.com/node/294120
