Location,Name,Rank,URL
"Stanford, CA",Stanford University,#1,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-science-243744
"Pittsburgh, PA",Carnegie Mellon University,#2,https://www.usnews.com/best-graduate-schools/top-science-schools/school-of-computer-science-211440
"Cambridge, MA",Massachusetts Institute of Technology,#3,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-electrical-engineering-and-computer-science-166683
"Berkeley, CA",University of California—​Berkeley,#4,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-electrical-engineering-and-computer-science-110635
"Seattle, WA",University of Washington,#5,https://www.usnews.com/best-graduate-schools/top-science-schools/computer-science-and-engineering-236948
"Atlanta, GA",Georgia Institute of Technology,#6,https://www.usnews.com/best-graduate-schools/top-science-schools/college-of-computing-139755
"Urbana, IL",University of Illinois—​Urbana-​Champaign,#7Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/thomas-m-siebel-center-for-computer-science-145637
"Austin, TX",University of Texas—​Austin,#7Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-sciences-228778
"Ithaca, NY",Cornell University,#9Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-science-190415
"Los Angeles, CA",University of California—​Los Angeles,#9Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/computer-science-department-110662
"Ann Arbor, MI",University of Michigan—​Ann Arbor,#11,https://www.usnews.com/best-graduate-schools/top-science-schools/electrical-engineering-and-computer-science-department-170976
"Amherst, MA",University of Massachusetts—​Amherst,#12,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-science-166629
"New York, NY",Columbia University,#13Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-science-190150
"Philadelphia, PA",University of Pennsylvania,#13Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-and-information-science-215062
"Los Angeles, CA",University of Southern California,#15,https://www.usnews.com/best-graduate-schools/top-science-schools/computer-science-department-123961
"Pasadena, CA",California Institute of Technology,#16Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/computer-science-department-110404
"College Park, MD",University of Maryland—​College Park,#16Tie,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-science-163286
"Madison, WI",University of Wisconsin—​Madison,#18,https://www.usnews.com/best-graduate-schools/top-science-schools/department-of-computer-sciences-240444
