,Economics and Business global research reputation,Economics and Business international collaboration,Economics and Business normalized citation impact,Economics and Business number of publications that are among the 10 percent most cited,Economics and Business overall score,Economics and Business percentage of total publications that are among the 10 percent most cited,Economics and Business publications,Economics and Business regional research reputation,Economics and Business total citations,Name,Rank,Subject Score,URL,website
0,#84,#122,#140,#83,44.4,#115,#65,#85,#81,Lancaster University,#86,44.4,https://www.usnews.com/education/best-global-universities/lancaster-university-504720,http://www.lancaster.ac.uk/
1,#170,#97,#95,#85,40.0,#74,#95,#142,#93,University of Leeds,#103,40,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265,http://www.leeds.ac.uk/
2,#108,#157,#186,#134,34.6,#201,#71,#142,#109,Cardiff University,"#125
          Tie",34.6,https://www.usnews.com/education/best-global-universities/cardiff-university-500071,http://www.cf.ac.uk/
3,#154,#29,#71,#138,34.0,#87,#203,#151,#143,Aston University,#132,34,https://www.usnews.com/education/best-global-universities/aston-university-528938,http://www.aston.ac.uk/
4,#181,#226,#115,#89,33.8,#71,#96,#193,#103,University of Bath,#133,33.8,https://www.usnews.com/education/best-global-universities/university-of-bath-506373,http://www.bath.ac.uk/
5,#219,#56,#99,#123,31.4,#122,#131,#219,#115,University of East Anglia,#140,31.4,https://www.usnews.com/education/best-global-universities/university-of-east-anglia-503561,http://www.uea.ac.uk/
6,#149,#74,#77,#155,31.0,#100,#213,#159,#156,University of Sussex,#145,31,https://www.usnews.com/education/best-global-universities/university-of-sussex-503906,http://www.sussex.ac.uk/
7,#164,#84,#202,#152,30.9,#186,#105,#142,#151,University of Essex,#146,30.9,https://www.usnews.com/education/best-global-universities/university-of-essex-502672,http://www.essex.ac.uk/
8,#172,#217,#104,#113,30.7,#113,#123,#199,#111,University of Sheffield,"#147
          Tie",30.7,https://www.usnews.com/education/best-global-universities/university-of-sheffield-503922,http://www.sheffield.ac.uk/
9,#130,#231,#91,#121,29.8,#50,#212,#142,#164,Cranfield University,#152,29.8,https://www.usnews.com/education/best-global-universities/cranfield-university-500995,http://www.cranfield.ac.uk/
10,#107,#137,#144,#172,29.7,#150,#179,#116,#173,University of Edinburgh,"#153
          Tie",29.7,https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832,http://www.ed.ac.uk/home
11,#162,#198,#178,#158,29.0,#198,#112,#129,#136,University of York,"#156
          Tie",29,https://www.usnews.com/education/best-global-universities/university-of-york-505776,http://www.york.ac.uk/
12,#145,#188,#140,#152,28.8,#138,#154,#167,#148,University of Reading,#161,28.8,https://www.usnews.com/education/best-global-universities/university-of-reading-504198,http://www.reading.ac.uk/
13,#143,#139,#170,#167,28.5,#194,#127,#185,#144,University of Strathclyde,"#165
          Tie",28.5,https://www.usnews.com/education/best-global-universities/university-of-strathclyde-504736,http://www.strath.ac.uk/
14,#174,#176,#153,#185,25.5,#206,#134,#185,#142,University of Southampton,#178,25.5,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892,http://www.southampton.ac.uk/
15,#179,#214,#221,#161,24.4,#203,#102,#199,#162,University of Birmingham,"#186
          Tie",24.4,https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524,http://www.birmingham.ac.uk/index.aspx
16,#161,#158,#208,#192,24.1,#202,#148,#159,#197,University of Glasgow,#188,24.1,https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110,http://www.gla.ac.uk/
17,#200,#156,#186,#182,23.4,#175,#163,#185,#187,University of Exeter,#189,23.4,https://www.usnews.com/education/best-global-universities/university-of-exeter-502021,http://www.exeter.ac.uk/
18,#6,#41,#54,#10,78.8,#63,#2,#13,#9,London School of Economics and Political Science,#9,78.8,https://www.usnews.com/education/best-global-universities/london-school-of-economics-and-political-science-502076,http://www.lse.ac.uk/home.aspx
19,#7,#114,#63,#15,71.9,#64,#9,#22,#15,University of Oxford,#14,71.9,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637,http://www.ox.ac.uk/
20,#17,#7,#10,#38,66.2,#8,#102,#30,#53,London Business School,#20,66.2,https://www.usnews.com/education/best-global-universities/london-business-school-504845,http://www.london.edu/
21,#11,#69,#95,#33,64.5,#110,#21,#23,#27,University of Cambridge,#23,64.5,https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149,http://www.cam.ac.uk/
22,#32,#140,#84,#32,59.6,#86,#26,#38,#30,University of Warwick,#31,59.6,https://www.usnews.com/education/best-global-universities/university-of-warwick-503443,http://www2.warwick.ac.uk/
23,#35,#22,#30,#51,56.8,#24,#92,#54,#63,Imperial College London,#41,56.8,https://www.usnews.com/education/best-global-universities/imperial-college-london-505571,http://www3.imperial.ac.uk/
24,#29,#43,#54,#55,55.0,#67,#61,#52,#57,University College London,#44,55,https://www.usnews.com/education/best-global-universities/university-college-london-501693,http://www.ucl.ac.uk/
25,#38,#163,#170,#48,54.4,#167,#18,#47,#37,University of Manchester,#45,54.4,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273,http://www.manchester.ac.uk/
26,#102,#98,#160,#39,52.5,#129,#24,#96,#42,University of Nottingham,#54,52.5,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548,http://www.nottingham.ac.uk/
27,#114,#27,#95,#72,47.4,#102,#59,#142,#70,City University London,"#73
          Tie",47.4,https://www.usnews.com/education/best-global-universities/city-university-london-503692,http://www.city.ac.uk/
