,Average GMAT,Avg. Work Exp.,Class Size,Duration,Int'l Students,Intakes,Name,Program 1 Application Deadlines,Program 1 Concentrations,Program 1 Cost,Program 1 Duration,Program 1 Features,Program 1 Intakes,Program 1 Languages,Program 1 Title,Program 1 URL,Program 2 Application Deadlines,Program 2 Concentrations,Program 2 Cost,Program 2 Duration,Program 2 Features,Program 2 Intakes,Program 2 Languages,Program 2 Title,Program 2 URL,Program 3 Application Deadlines,Program 3 Concentrations,Program 3 Cost,Program 3 Duration,Program 3 Features,Program 3 Intakes,Program 3 Languages,Program 3 Title,Program 3 URL,Rank,Tuition,URL,Women
0,665,"4.1
yrs",351,24 mths,51&percnt;,September,University of Toronto - Joseph L. Rotman School of Management,October 17January 9February 27April 17May 29,"Brand Management
Business Design
Consulting
Financial Reporting and Analysis
Funds Management
General Management
Global Management
Health Sector Management
Innovation and Entrepreneurship
Investment Banking
Leadership and Change Management
Process and Supply Chain Management
Management Analytics
Real Estate
Risk Management and Financial Engineering
Sustainability","107,770 CAD",24 months,"Tuition is based on rate for international students.

Tuition for Canadian Citizens and Permanent Residents is 98 409 CAD.",September,English,MBA,http://www.rotman.utoronto.ca/Degrees/MastersPrograms/MBAPrograms/FullTimeMBA#Getting%20In,,,,,,,,,,,,,,,,,,,1,"107,770 CAD",https://find-mba.com/schools/can/canada/toronto-rotman,34&percnt;
1,,"5.0
yrs",70,20 mths,55&percnt;,August,McGill University - Desautels Faculty of Management,"May 1, 2017","Finance
Marketing
Global Strategy and Leadership 
Business Analytics","89,000 CAD",20 months,,August,English,MBA,https://www.mcgill.ca/desautels/programs/mba-programs/mba,,,,,,,,,,,,,,,,,,,2,"89,000 CAD",https://find-mba.com/schools/can/canada/mcgill-desautels,30&percnt;
2,660,"5.0
yrs",,20 mths,50&percnt;,"January,  September",York University - Schulich School of Business,January 15February 28April 30September 15October 15,"Accounting
Arts, Media & Entertainment Management
Business & Sustainability
Business Consulting
Economics
Entrepreneurial Studies
Finance
Financial Risk Management
Financial Services
Global Mining Management
Global Retail Management
Health Industry Management
International Business
Marketing
Operations Management & Information Systems
Organization Studies
Public Sector: Business & Government
Real Estate & Infrastructure
Social Sector Management
Strategic Management","99,500 CAD",20 months,"Tuition based on international resident rate.

Accelerated delivery option available to eligible candidates.","January,  September",English,1. MBA,http://schulich.yorku.ca/programs/mba/,January 15February 28April 30,"Accounting
Arts, Media & Entertainment Management
Business & Sustainability
Business Consulting
Economics
Entrepreneurial Studies
Finance
Financial Risk Management
Financial Services
Global Mining Management
Global Retail Management
Health Industry Management
International Business
Marketing
Operations Management & Information Systems
Organization Studies
Public Sector: Business & Government
Real Estate & Infrastructure
Social Sector Management
Strategic Management","99,500 CAD",20 months,Tuition based on international resident rate.,September,English,2. International MBA (IMBA),http://schulich.yorku.ca/programs/imba/,January 15March 15April 30,"Accounting
Arts, Media & Entertainment Management
Business & Sustainability
Business Consulting
Economics
Entrepreneurial Studies
Finance
Financial Risk Management
Financial Services
Global Mining Management
Global Retail Management
Health Industry Management
International Business
Marketing
Operations Management & Information Systems
Organization Studies
Public Sector: Business & Government
Real Estate & Infrastructure
Social Sector Management
Strategic Management","83,404 CAD",20 months,"First year of program takes place in Hyderabad, India.",September,English,3. MBA (in India),http://schulich.yorku.ca/programs/mba-india/,3,"99,500 CAD",https://find-mba.com/schools/can/canada/york-schulich,32&percnt;
3,650,"5.0
yrs",99,16 mths,67&percnt;,August,University of British Columbia (UBC) - Sauder School of Business,November 2January 11March 1May 3,"Finance
Innovation and Entrepreneurship
Product and Service Management","71,278 CAD",16 months,"Tuition is based on international student rate.

Tuition for domestic students is 46 569 CAD.",August,English,MBA,http://www.sauder.ubc.ca/Programs/MBA/MBA_Full_Time,,,,,,,,,,,,,,,,,,,4,"71,278 CAD",https://find-mba.com/schools/can/canada/ubc-sauder,35&percnt;
4,611,"5.0
yrs",80,16 mths,,September,University of Alberta - School of Business,June,"Finance
Innovation & Entrepreneurship 
International Business
Natural Resources, Energy & Environment
Public Policy & Management
Sustainability","51,020 CAD",16 months,Tuition figure listed applies to international students.,September,English,1. MBA,https://www.ualberta.ca/business/programs/mba/full-time,June,"Finance
Innovation & Entrepreneurship 
International Business
Natural Resources, Energy & Environment
Public Policy & Management
Sustainability","14,640 CAD",10 months,Candidates must have North American undergraduate business degree.,August,English,2. MBA (FastTrack),https://www.ualberta.ca/business/programs/mba/degree-programs/fast-track,,,,,,,,,,5,"51,020 CAD",https://find-mba.com/schools/can/canada/ualberta,35&percnt;
5,665,"5.0
yrs",148,12 mths,26&percnt;,March,University of Western Ontario - Richard Ivey School of Business,January 9April 25July 18September 26November 14,"Corporate Strategy & Leadership
Entrepreneurship
Finance
International Management
Marketing","101,500 CAD",12 months,Tuition is based on rate for non-resident students,March,English,1. Ivey MBA,https://www.ivey.uwo.ca/mba/,April 10May 29,"Corporate Strategy & Leadership
Entrepreneurship
Finance
International Management
Marketing","50,600 CAD",10 months,"Program intended for recent HBA graduates from Ivey

Tuition based on rate for Canadian residents",July,English,2. Accelerated MBA,https://www.ivey.uwo.ca/mba/mba-program/about/accelerated-mba/,,,,,,,,,,6,"101,500 CAD",https://find-mba.com/schools/can/canada/western-ontario-ivey,27&percnt;
6,630,"4.5
yrs",,20 mths,26&percnt;,August,University of Calgary - Haskayne School of Business,March 1June 1,"Global Energy Management and Sustainable Development
Entrepreneurship and Innovation
Finance
Marketing
Project Management
Real Estate Studies","57,616 CAD",20 months,"Tuition for Canadian residents is 32 462 CAD.

International applicant final deadline – March 1.",August,English,1. Daytime MBA,https://haskayne.ucalgary.ca/programs/mba/daytime,,,,24 months,"Requires meeting Master's thesis requirement of Faculty of Graduate studies.

Program duration is flexible, maximum up to five years.",,English,2. Thesis-Based MBA,https://haskayne.ucalgary.ca/programs/mba/thesis,,,,,,,,,,7,"57,616 CAD",https://find-mba.com/schools/can/canada/calgary-haskayne,40&percnt;
7,651,"5.0
yrs",82,12 mths,32&percnt;,January,Queen's University - The Stephen J.R. Smith School of Business,"September 11, 2017","Consulting
Entrepreneurship & innovation
Finance
Healthcare management
Marketing & sales","91,000 CAD",12 months,Tuition based on rate for international students. Tuition for domestic students is 81000 CAD.,January,English,MBA,https://smith.queensu.ca/mba_programs/mba/index.php,,,,,,,,,,,,,,,,,,,8,"91,000 CAD",https://find-mba.com/schools/can/canada/queen-s,34&percnt;
8,623,"5.0
yrs",143,16 mths,21&percnt;,"January,  September",Concordia University - John Molson School of Business,June 15October 1June 1,,"37,100 CAD",16 months,"Tuition price is for international students

Tuition for Canadian, Quebec residents is $5,900

Tuition for Canadian, non-Quebec residents is $13,300

International applicant deadlines: Feb 15 (September entry) and Jun 15 (January entry)","January,  September",English,1. MBA,https://www.concordia.ca/jmsb/programs/graduate/mba.html,June 1October 1,,"45,400 CAD",12 months,"Candidates must have recognized undergraduate business degree

Tuition is for international students

Tuition for Canadian, Quebec residents: $7,300

Tuition for Canadian, non-Quebec residents: $16,600","January,  September",English,2. MBA (Accelerated),https://www.concordia.ca/jmsb/programs/graduate/mba-2016-2017/program-details/option-112.html,,,,,,,,,,9,"37,100 CAD",https://find-mba.com/schools/can/canada/concordia-molson,31&percnt;
9,625,"7.0
yrs",,12 mths,45&percnt;,May,HEC Montréal,June 1September 1November 1January 15,,"32,400 CAD",12 months,"Tuition based on rate for international applicants.

Tuition for Canadian students is 16 700 CAD.

Tuition for Quebec students is 7 900 CAD.

International Applicant Deadline: November 1.

Program offered in English or French.",May,"English, 
French",MBA,http://www.hec.ca/en/programs/mba/full-time-mba/,,,,,,,,,,,,,,,,,,,10,"32,400 CAD",https://find-mba.com/schools/can/canada/hec-montreal,36&percnt;
