2015 Rank,2016 Rank,2017 Rank,3 Year Average,Aims Achieved,Career Progress Rank,Careers Service Rank,Country,Employment,Female Faculty %,Female Student %,Internships,Intl. Faculty,Intl. Students,Intl. board,Intl. course,Intl. mobility,Languages,Max. Course Fee (Local Currency),Num. enrolled 16/17,PHD Faculty,Prog length,Programme Name,Relevant degree,Salary Percentage Inc,Salary Today US$,School Name,Value,Weighted Salary US$,Woman Board,Programme Name,School Name,academic requirements,application deadline,application procedure,begin,language,length,program length:,reqired:,teaching language:,teaching mode,teaching mode:,tuition fees,
1,1,1,1,92,67,1,Switzerland,97 (100),16,40,100,80,91,50,2,2,1,"SFr9,978",55,100,26,MA in Strategy and International Management,Yes,67,114449,University of St Gallen,13,114449,38,Master of Arts in Strategy and International Management (SIM-HSG),"University of St.Gallen, IfB",academic background in business or economics,30 april,,september,english,1.5 years,1.5 years,academic background in business or economics,english,,full time,tuition fees for master’s programmeschf 1426 for matriculated domestic students in a regular semesterchf 3326 for matriculated foreign students in a regular semester,
2,2,2,2,92,32,4,France,96 (91),19,39,96,71,41,67,9,3,2,36000,534,100,18,HEC MSc in Management,No,73,100696,HEC Paris,34,99145,13,Grande École - Master in Management,HEC Paris School of Management,no academic background in business or economics required,"october, january, march and april",,september,"english, french",18 months,18 months,no academic background in business or economics required,"english, french",,full time,"tuition fees: eu: € 32,400 – non eu: €37,000",
10,7,3,7,91,7,45,Spain,93 (87),38,44,27,62,70,84,58,13,1,32200,548,98,10,Master in Management,No,78,90613,IE Business School,51,91189,46,Master in Management,IE Business School,no academic background in business or economics required,"ie business school has a rolling admissions process. thus, there are no application deadlines for any particular intake or program. however, given the limited number of places available in each intake, we recommend that you present your application one year prior to program commencement.","please note that no academic background in business or economics is required and that the maximum allowed full time working experience is 2 years by the start of the program.the application should be completed in the language (english or spanish) in which you plan to study the core part of the program.should the admissions committee grant you an interview upon the review of your application and supporting documents, you will be contacted to schedule an interview.it is recommended that the interview be conducted in person, as it is an integral part of the admissions process. interviews may be scheduled on campus, with one of our offices, in coordination with an ie event, or by phone or skype should you be unable to meet us in person.it will take roughly 2-3 weeks for the admissions committee to review your file after the interview and provide you with a final decision.admission is valid for two intakes, the intake you apply to and the following.apply now!",february and september,"english, spanish","the program has a duration of 10 to 13 months, depending on if you choose to complete the optional beyond borders experience (bbe) of the program or not.","the program has a duration of 10 to 13 months, depending on if you choose to complete the optional beyond borders experience (bbe) of the program or not.",no academic background in business or economics required,"english, spanish",,full time,"program fees for the master in management total €35,000 (prices are reviewed annually and are subject to change). if candidates choose to study the optional beyond borders experience (bbe), there is an additional fee of €5,000.fees for the master in management include:expenses related to learning activities, including, but not limited to: access to relevant technology, multimedia learning tools, conferences, access to physical and digital library resources, language training courses (english/spanish), pre-program classes before the start of the program, and access to the various ie centers of excellencea contribution to the ie foundationie business school - financial aid",
6,6,4,5,92,49,8,UK,95 (99),24,41,50,85,97,72,59,1,1,28900,241,100,12,Masters in Management,No,63,86896,London Business School,57,85262,39,Masters in Management,"University of London, London Business School (LBS)",no academic background in business or economics required,"applicants are encouraged to apply as early as possible for the best chance of achieving a place, and in most cases you will receive a final decision within six to eight weeks of submitting your completed application. offers are made throughout the year.","to join the programme, you will have a good undergraduate degree from any study discipline; excelled in non-academic areas such as sports or the arts, or shown your leadership potential in community activities; less than one year of full-time, postgraduate work experience.you will need to submit all of the following before we are able to review your application:completed online application formessay questionscvundergraduate degree equivalent to a uk 2:1 or above (or expected grades if your degree is not yet completed)gmat (range of 600-800) / greielts, toefl, cambridge cpe, cae or pte academic score (if applicable)two references (academic or professional)application fee",september,english,1 year,1 year,no academic background in business or economics required,english,,full time,for details on fees and financing please visit the lbs mim fees & financing page.,
3,3,5,4,91,75,12,France / Singapore,93 (68),31,52,100,55,36,62,11,11,1,38000,831,99,21,MSc in Management,No,54,90106,Essec Business School,47,89067,38,Master of Science in Management,Essec Business School,no academic background in business or economics required,,,august,,msc in management is an 18 month course + 18 month traineeship.,msc in management is an 18 month course + 18 month traineeship.,no academic background in business or economics required,english,,full time,,
7,4,6,6,88,39,23,FR / UK / DE / ES / IT,97 (91),38,51,100,76,83,52,6,14,2,35800,870,98,18,ESCP Europe Master in Management,No,50,78332,ESCP Europe,55,78215,30,Master in Management,ESCP Europe,no academic background in business or economics required,,,september,,2 years,2 years,no academic background in business or economics required,"english, french, german, spanish",,full time,,
8,9,7,8,92,79,2,Germany,96 (99),25,36,100,31,27,12,38,55,0,23600,100,100,20,MSc in Management,Yes,58,108590,WHU Beisheim,30,106172,12,Master in Management (MSc),WHU Otto Beisheim School of Management,academic background in business or economics,"the application deadline for the next term beginning in september 2017 will be in early may, 2017.","besides a bachelor’s degree in a business administration- or finance-related field of study with at least 180 ects (or equivalent credit points), the admission requirements include:gmat score of at least 600 (whu code: fbr-fh-93), or gre of at least 155 verbal and 155 quantitative, or tm-base of at least 103toefl (min. score: 100 ibt) or ielts (min. score 7.0)practical experience (five months internship/s or equivalent)international experience (study or internship abroad)completion of whu's application formspassing of whu's admissions test",early september each year,english,"17-21 months, depending on the chosen track","17-21 months, depending on the chosen track",academic background in business or economics,english,full time,full time,"tuition for the master in management program is eur 19,500 (90 credit track) or eur 24,000 (120 credit track). this fee includes the tuition for the capstone module abroad in the 90 credit track or the semester abroad in the 120 credit track. a non-refundable fee of €90 is charged for processing the application. taking part in a double degree program involves additional costs that depend on the partner’s tuition fees.",
12,9,8,10,89,9,18,Spain,94 (90),37,34,38,39,92,84,47,4,1,25800,130,92,13,MSc in International Management,Yes,74,74544,Esade Business School,45,74869,32,Master in International Management,ESADE Business School,no academic background in business or economics required,every month until june. for cems applicants last deadline is may.,application proceduresubmit your admission application onlineyou can do this at www.esade.edu/msc from september until june (may for cems mim candidates).take the gmat or greit is essential to take one of these two tests for admission. send us the required documentation- your university academic record- english level certificate- gmat or gre score- 2 letters of recommendation- essays- cvinterviewan interview is mandatory for all candidatesentry requirementsgraduates in business management or a similar discipline. graduates with a different academic background are required to take the management immersion programmefluent in english. no knowledge of spanish requiredprofessional experience not required,september,english,1 year,1 year,no academic background in business or economics required,english,,full time,"€26,100 - €35,100",
4,-,9,-,90,23,16,See table note,98 (60),34,49,100,36,50,95,4,6,2,11365,1243,93,12,Cems Masters in International Management,No,41,76102,Cems,29,76333,34,Master’s in International Management (MIM),CEMS,no academic background in business or economics required,,"to study the cems master in management you need to be enrolled in a master in management at a cems partner university first. usually you study the first year in that program before you join the cems master. ""joining the cems master"" means that you get special lectures in the second year:either one semester of your second master's year at your home university and the second semester at a cems partner universityor both semesters of the second master's year at a cems partner university",depends on the partner institution,,,,no academic background in business or economics required,english,,full time,,
9,11,10,10,89,14,5,Italy,98 (52),39,40,100,35,36,73,17,10,1,25412,143,97,28,MSc in International Management,No,57,74888,Università Bocconi,48,75423,23,MSc in International Management,Bocconi University,no academic background in business or economics required,,,,,2 years (120 ects),2 years (120 ects),no academic background in business or economics required,english,,full time,,
