,Acceptance Rate,Address,Admissions Office,Annual Tuition,Average GMAT,Average GPA,Female,Full-Time Enrollment,GMAT Range (mid-80%),GMAT Range GPA Range (mid-80%),GPA Range (mid-80%),International,Male,Mean Age,Minority,Name,P&QLink,Rolling,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
0,,"Boulevard de Constance,Fontainebleau, France 77305",+33 (0)1 6072 4190," €80,000", 707,, 34%, 1055,,,,, 68%,,,Insead,http://poetsandquants.com/school-profile/1-insead/,No," March 15th, 2017"," May 3rd, 2017"," June 14th, 2017"," July 26th, 2017",,,,
1,,"655 Knight Way,Stanford, CA 94305",650-723-2766," $33,270", 733, 3.75, 40%, 825, 570-800,,, 40%, 60%,, 19%,Stanford Graduate School of Business,http://poetsandquants.com/school-profile/stanford-graduate-school-of-business/,No," September 21st, 2016"," January 10th, 2017"," March 15th, 2017",,,,,
2, 13%,"Jon M. Huntsman Hall,3730 Walnut Street,Philadelphia, PA 19104",215-898-6183," $36,817", 730, 3.60, 44%, 861, 700-770,,, 32%, 56%,, 32%,University of Pennsylvania: Wharton,http://poetsandquants.com/school-profile/university-of-pennsylvania-the-wharton-school/,No,,,,,,,,
3, 11%,"Dillon House,Soldiers Field Road,Boston, MA 02136",617-495-6128," $63,675", 730, 3.7, 42%, 937, 700-760,,, 34%, 58%, 27, 28%,Harvard Business School,http://poetsandquants.com/school-profile/harvard-university-harvard-business-school/,No," September 7th, 2016"," January 4th, 2017"," April 3rd, 2017",,,,,
4, 33%,"Trumpington Street,CambridgeCB2 1AG, United Kingdom",+44-0-1223-337053," £51,000", 690, 3.6, 33%, 160,,,, 93%, 67%, 29,,University of Cambridge: Judge,http://poetsandquants.com/school-profile/university-cambridge-judge-business-school/,Yes,,,,,,,,
5,,"Regent's Park,London,United Kingdom, NW1 4SA",020-7000-7500," £33,875", 700,, 37%, 417, 660-750,,, 92%, 63%, 29,,London Business School,http://poetsandquants.com/school-profile/london-business-school/,No," September 21st, 2016"," January 4th, 2017"," February 24th, 2017"," April 21st, 2017",,,,
6,,"3022 Broadway,Uris Hall, Room 216,New York, NY 10027",212-854-5553," $65,988", 715, 3.5, 36%, 762, 680-760,, 3.1-3.8, 42%, 64%, 28, 35%,Columbia Business School,http://poetsandquants.com/school-profile/columbia-university/,Yes,,,,,,,,
7, 25%,"Maria de Molina, 11,Madrid, Spain 28006",+34-91-568-96-00," €32,500", 670,, 31%, 440, 600-770,,, 91%, 69%, 29,,IE Business School,http://poetsandquants.com/school-profile/ie-business-school/,Yes,,,,,,,,
8, 13.6%,"5807 South Woodlawn Avenue,Chicago, IL 60637",773-702-7369," $66,540", 726, 3.6, 42%, 585, 570-780,, 3.2-3.9, 34%, 58%, 27.8, 23%,University of Chicago: Booth,http://poetsandquants.com/school-profile/university-of-chicago-booth-school-of-business/,No," September 22nd, 2016"," January 4th, 2017"," April 4th, 2017",,,,,
9,,"Avda. Pearson, 21Barcelona, Spain 08034",Barcelona +34-93-253-42-00," €38,414", 690,, 28%, 350,,,, 81%, 72%, 28.5,,Iese Business School,http://poetsandquants.com/school-profile/iese-business-school-at-the-university-of-navarra/,No,,,,,,,,
